"","X1_1","Question","Answer","Speaker"
"40",66,"

مريض يعاني من بعض الحالات النفسية والعصبية وياخذ علاجات مخدرة لهذا المرض ولذلك تفوت عليه بعض الصلوات بسبب النوم الطويل او نوع من حالات الخمول والتخدر فهل يترتب عليه اثم في ذلك وما حكم قضاء هذه الفروض؟","اذا لم يكن مستخفاً بصلاته فلاشيء عليه، نعم الخمول والتخدر ليسا عذرين لترك الصلاة وعلي اي تقدير يلزمه قضاء ما يفوته من الصلاة بسبب ذلك كله.","السيستاني"
"41",67,"

هل يعد النوم عذراً يطول به وقت العشائين الي ما بعد منتصف الليل وقبل الفجر؟","نعم، بمعني انه لو نام عن صلاة المغرب والعشاء ولم يستيقظ حتي انتصف الليل لزمه الاتيان بالصلاتين اداءاً.","السيستاني"
"42",68,"

هناك اوقات حرجة لا يمكن للمصلي فيها معرفة الوقت (هل انتهي ام لا) فما هي وظيفة المصلي في هذه الحالة؟","يأتي بالصلاة والاحوط الاولي ان تكون بنية الاعم من الاداء والقضاء.","السيستاني"
"43",69,"

مامقدار فضيلة صلاة المغرب؟","زوال الحمرة المغربية وهو في بلادنا يقارب ساعة بعد الغروب.","السيستاني"
"44",70,"

توجد في دولة السويد او مكان آخر منطقة يكون النهار فيها ساعة واحدة في اليوم ولمدة ستة اشهر وفي فصل آخر يكون الليل عندهم ساعة واحدة في اليوم فكيف يكون الصوم عندهم والصلاة؟","حكم الصلاة فيها يدور مدار الاوقات الخاصة من الفجر والزوال والغروب واما صوم شهر رمضان فعلي المكلف اداؤه مع التمكن منه ويسقط مع عدم التمكن فان تمكن من قضائه وجب والاّ فعليه الفدية بدله.","السيستاني"
"45",71,"

هل يفترق الفجر في الليالي المقمرة عنه في غيرها ام لا؟ وكم هو مقدار الفرق ولو للاحتياط الاستحبابي؟","لا يفترق فان التبيّن طريق الي تحقق مقدار من الضوء المعترض في الافق الشرقي بحيث يتميز بالعين المجردة لولا وجود مانع، ومن المانع نور القمر في الليالي المقمرة في مدة عشر دقائق او اقل او ازيد حسب اختلاف ضوء القمر وقربه من الافق ولكن رعاية الاحتياط في ذلك اولي واحسن.","السيستاني"
"46",72,"

متي يحين وقت صلاة الجمعة؟","وقت صلاة الجمعة أول الزوال عرفاً من يوم الجمعة ، ولو لم يصلها في هذا الوقت لزمه الاتيان بصلاة الظهر.","السيستاني"
"47",73,"

لقد صليت صلاة الصبح ظناً بأنه قد أذن الصلاة الصبح و بعد نصف ساعة سمعت المؤذن يؤذن فلم أعد الصلاة مرة أخرى فما الحكم ؟","اذا تبين ان صلاتك كانت قبل الوقت وجبت الاعادة.","السيستاني"
"48",74,"

كيف يمكن تحديد ساعة ابتداء الثلث الاخير من الليل؟","المقصود من الثلث الأخير من الليل هوالثلث الاخير مما بين غروب الشمس وطلوع الفجر.","السيستاني"
"49",75,"

هل يعدّ (السيخ) من أهل الكتاب؟","لا يعدّون من أهل الكتاب.","السيستاني"
"50",76,"

ما حكم الخادمة المسيحية التي تعمل في منازل المسلمين فهل يجوز لبس الملابس التي تغسلها أو أكل الطعام الذي تطبخه؟","اهل الكتاب محكومون بالطهارة.","السيستاني"
"51",77,"

هل يجوز مصافحة أهل الكتاب؟","يجوز مصافحتهم.","السيستاني"
"52",78,"

يصادف المرء الكثير من اهل الكتاب في مقر عمله فما تكليفي في هذه الحالة مع العلم أني أقلد السيد الخوئي ( قدس سره )؟","كان المرحوم يحتاط في طهارة الكتابي فيمكن الرجوع فيها الى من يرى طهارتهم ممن يصح الرجوع اليه؟","السيستاني"
"53",79,"

هل يجوز ادخال الكافر الكتابي وغير الكتابي الى المسجد ؟","لايجوز ادخال الكافر غير الكتابي بل ولا الكتابي على الاحوط، نعم لا يجوز دخولهم المسجد الحرام ومسجد النبي مطلقاً.","السيستاني"
"54",80,"

هل يجوز الذهاب الى الكنيسة؟","لا مانع منه ما لم يُخَاف الضلال، او كان فيه ترويج للمسيحية.","السيستاني"
"55",81,"

هل يجوز سرقة اموال أهل الكتاب؟","سماحة السيد لا يجيز ذلك.","السيستاني"
"56",82,"

هل يجوز الزواج بكتابية علي ان تبقي علي دينها؟ وهل يشترط ان يكون كلا الشاهدين علي الزواج من المسلمين؟","لا يجوز الزواج الدائم بها علي الاحوط ولا يشترط الشهود في الزواج مطلقا.","السيستاني"
"57",83,"

طالب جامعي، أو تاجر، أو سائح، أو ما شابههم يسافر الى دول غير اسلامية كاُوربا مثلاً، حيث لا تكاد تخلو حياته اليومية من تماس مباشر مع سكانها من المسيحيين واليهود برطوبة مسرية.. في مقهى أو عند حلاّق أو طبيب أو صاحب مكوى أو غيرهم، ممّا يصعب عليه احصاؤه، فما العمل؟","يبني على طهارة اجسامهم مالم يحرز تنجّسها بنجاسة خارجية.‏","السيستاني"
"58",86,"

هل يجوز اكل الانفحة ؟","يجوز الأكل إذا كنت تحتمل إحتمالاً معتداً به أخذها من المذكى او كانت مادة سائلة او شبه سائلة لا تقبل الغسل كما هو الظاهر.","السيستاني"
"59",88,"

بالنسبة للاجبان المصنوعة في الدول الكافرة التي تحتوي على انفحة العجل، فهل الانفحة في الاصل طاهرة مع للعلم بانها اخذت من الميتة ام انها نجسة ولا بد من تطهيرها ؟","حلال لكون الانفحة المذكورة سائلة عادة.","السيستاني"
"60",90,"

هل تغني أضحية الزوج عن زوجته وابنائه؟","لا تغني وهي مستحبة.","السيستاني"
"61",91,"

هل يجوز لعدد من الحجاج الاشتراك في أضحية واحدة لحج الصرورة وهل يجوز ذلك للحاج حجاً مستحباً؟","اذا لم يتمكن من الهدي باستقلاله وتمكن من الشركة فيه مع غيره فالاحوط الجمع بين الشركة في الهدي والصوم على الترتيب المذكور ويجوز في الاضحية المستحبة.","السيستاني"
"62",92,"

هل يجوز الأضحية الحيوان الانثى عن المتوفى ذكر؟","لا مانع منه.","السيستاني"
"63",93,"

هل يجوز ذبح الاضحية في كافة ايام عيد الاضحى المبارك لغير الحجاج؟","يجوز.","السيستاني"
"64",94,"

هل يجزئ دفع قيمة الاضحية لمستحقيها عوضاً عن الاضحية؟","لايجزئ دفع القيمة .","السيستاني"
"65",95,"

هل يجوز إهداء الاضحية يوم عيد الاضحى إلى للوالدين المتوفين ؟","يمكن إهداء الثواب إليهما .","السيستاني"
"66",97,"

ما هي مكروهات الذبيحة؟","يكره الكليتان واذنا القلب والعروق.","السيستاني"
"67",99,"

هل يجب على المضحي أن لايقص الشعر والإظافر ؟","لا يجب ذلك.","السيستاني"
"68",102,"

ماهو حكم احتكار بعض القنوات الخاصة لحقوق بث مباريات كرة القدم ومنع الناس عن مشاهدتها عدا من يشترك في تلك القنوات ؟
وما هو حكم شراء البطاقات المزّورة التي تفك شفرات تلك القنوات ؟","لا مانع واذا كان شراء البطاقات المزورة على خلاف قانون ممضى ممن له الولاية الشرعية فلا يجوز في نفسه.","السيستاني"
"69",105,"

ما هي حدود المسجد الحرام ومسجد الرسول الاكرم (ص) للاعتكاف؟ وهل يجوز البقاء في المنطقة المحيطة بالحرم المحصور بسور؟ وهل تعتبر هذة المنطقة من ضمن المسجد النبوي؟","المنطقة المحيطة بالمسجد لاتعدّ منه و يجوز الاعتكاف في الإمتدادات الجديدة .","السيستاني"
"70",106,"

ما هو تعريفكم للاعتكاف؟","وهو اللبث في المسجد بقصد التعبد به و الأحوط استحباباً أن يضم إليه قصد فعل العبادة فيه من صلاة و دعاء و غيرهما ، و يصح في كل وقت يصح فيه الصوم ، و الأفضل شهر رمضان ، و أفضله العشر الأواخر .","السيستاني"
"71",107,"

هل يجوز للمعتكف استعمال معجون الاسنان والصابون المتعارف حيث انه مطيّب بروائح زكية؟","لا يجوز شم الطيب فاذا استلزمه الاستعمال لا يجوز.","السيستاني"
"72",108,"

توجد حجرة في صحن المسجد، جعلناها مكتبة للمسجد، فهل يجوز للمعتكف ان ينام فيها او يذهب لاخذ كتاب منها؟","لا يجوز اذا لم تكن جزءًا من المسجد.","السيستاني"
"73",109,"

هل يعتبر (تغسيل الاسنان المتكرر والاستحمام للتبرد او للتنظف والاستنشاق وتمشيط الشعر) حاجة مسوغة لخروج المعتكف الي دورة المياه الخاصة بالمسجد؟","لا يعتبر من الحاجة.","السيستاني"
"74",110,"

لو خرج المعتكف لكي يوصل زوجته الي المستشفي وانتظرها لكي يرجعها وتاخر لمدة ساعتين، فهل يبطل اعتكافه؟","نعم يبطل اذا لم تكن ضرورة في كونه معها او اذا انمحت صورة الاعتكاف.","السيستاني"
"75",111,"

هل يجوز للمعتكف ان يزور المريض الذي يرقد في المستشفي البعيدة عن المسجد، بحيث يستغرق الذهاب والاياب فقط مدة ساعة او اكثر؟","عيادة المريض ليست من موارد جواز الخروج.","السيستاني"
"76",112,"

هل يصح الاعتكاف بنية عدم اكمال اليوم الثاني؟","لا يصح.","السيستاني"
"77",113,"

إذا قصد الاعتكاف في المسجد الحرام أيجوز أن يحرم من التنعيم قبل أذان الفجر ويأتي بالأعمال في حال الاعتكاف مع أن المسعى خارج من المسجد ؟","خروجه من المسجد لأجل الإتيان بالسعي لابد أن يكون عن حاجة لابد منها كأن يكون بقاؤه في حال الإحرام طيلة أيام الاعتكاف حرجياً عليه عليه وشاقاً.","السيستاني"
"78",114,"

اذا قام المعتكف بارتكاب بعض المحظورات عمداً او جهلاً او سهواً فهل يبطل اعتكافه؟ واذا كان الحكم يختلف باختلاف ارتكاب المحظور فالرجاء التفصيل ؟","يبطل الإعتكاف في النهار بما يبطل الصوم لأشتراطه به وكذا يبطل باتيان المحظورات عمداً او جهلاً بالحكم ان لم يكن قاصراً في جهله ولا يبطل بالسهو .","السيستاني"
"79",116,"

هل ينفذ اقرار المفلس فيما يتعلق بماله ؟","لا ينفذ إقرارالمفلس فيما يتعلق بماله الذي حجرعليه وينفذ فيما عداه كدارسكناه وأثاث بيته و نحوهما ، وكذا ينفذ إقراره في الدين سابقاً ولاحقاً ولكن لا يشارك المقر له الغرماء كما مر في كتاب الحجر .","السيستاني"
"80",117,"

ما هو المناط في اهل الخبرة لتشخيص الاجتهاد او الاعلمية؟","اهل الخبرة لتشخيص الاجتهاد هم المجتهدون او من يدانيهم في العلم ، واما اهل الخبرة لتشخيص الاعلم فيشترط فيهم (بإلاضافة الى ذلك) الاطلاع ـ ولو إجمالاً ـ على مستويات من هم في اطراف شبهة الاعلمية في الجوانب الثلاثة المذكورة في تعليقة العروة رقم 18 الجزء الاول ولابد للمكلف من احراز كون الشاهد من اهل الخبرة ليتسنى له الاعتماد على قوله.","السيستاني"
"81",118,"

هل يمكن لغير العالم الديني ان يشخّص المجتهد أو المرجع الاعلم فيكون هو من أهل الخبرة في مسألة الاجتهاد والاعلمية ؟","لا يمكنه تشخيص المجتهد أو الاعلم ولكن يمكنه أن يسأل أهل الخبرة في ذلك وفي مثل ذلك إذا اطمأن الانسان بتشخيصه لاهل الخبرة الذين يسألهم حول الموضوع جاز له الاعتماد على شهادة من يثق به منهم .","السيستاني"
"82",119,"

اذا لم اكن اعرف فتوي المجتهد الحي الاعلم في مسالةٍ ما، فهل يمكنني الرجوع في هذه المسالة الي غيره من المجتهدين، ام يجب عليّ البحث لمعرفة فتوي المجتهد الحي الاعلم؟","يجب استعلام فتوي الاعلم ولو لم يتيسّر جاز الرجوع الي مجتهد آخر مع رعاية الاعلم فالاعلم او يعمل بما يقتضيه الاحتياط في المسألة.","السيستاني"
"83",120,"

حجية التقليد لابد ان تنتهي الي الاجتهاد فما الحكم في تقليد العوام الذين لايلتفتون الي ذلك فهم يقلدون تقليداً للآباء او العلماء؟","اصل التقليد بمعني رجوع الجاهل الي العالم امر ارتكازي وعليه جرت سيرة العقلاء في الرجوع الي اهل الخبرة في جميع موارد الحاجة اليهم فان كان من رجع اليه (العامي) واجداً لجميع الشروط المذكورة في الرسائل العملية فهو يقطع بحجية فتاواه لا عن تقليد وهذا المقدار يكفيه نعم ليس له تقليد الفاقد لبعض الشروط المحتملة دخالتها في الحجية الا اذا افتي الواحد للجميع بعدم اعتبارها.","السيستاني"
"84",121,"

ما حكم من استعار كتاباً ونسي صاحبه ؟","يراجع الحاكم الشرعي .","السيستاني"
"85",123,"

هل يجوز للمستعير اعارة العين المستعارة او إجارتها؟ ومتى يجوز له ذلك ؟","لايجوز إلا باذن المالك .","السيستاني"
"86",124,"

والدي متوفى منذ سنتين وانا استلم الحصة المخصصة له في البطاقة التموينية منذ ذلك الحين فما حكم ذلك؟ وكيف السبيل إلى إبراء ذمتي؟","عليك التصدّق بقيمة ماتصرفت به سابقاً من حصته.","السيستاني"
"87",125,"

قبل سقوط النظام السابق كان هناك نظامٌ في وزارة الاوقاف بان تعطي مساعدات للموظفين من وارد المراقد الشريفة وقسم من الموظفين ارادوا ابراء ذممهم فما الحكم في ذلك؟","لا يجب عليهم شيء ما لم يعلموا بدفع عين المال لهم وهذا ما لا يعلم عادة .","السيستاني"
"88",126,"

اشتريت سلعة من صديق لي ولم اسدد ثمنها له مع العلم انه أبرأني الذمة ان لم اسددها له فما الحكم مع العلم اني لحد الان لم اسددها له لحد الآنه؟","اذا أبرأ ذمتك فلا شيء عليك.","السيستاني"
"89",127,"

من كانت ذمته مشغولة لشخص ولم يتمكن من معرفته. فهل يجوز له التصدق عنه مباشرة ام يحتاج إلى مراجعة الحاكم الشرعي؟","الاحوط ان يكون باذنه الحاكم الشرعي.","السيستاني"
"90",129,"

هل يجوز الاستثمار بالعملات الاجنبية ـ أي ـ الدولار فإنه يعادل . ريالات وعندما يرتفع الدولار تصبح قيمته=  ريالات؟","إذا كان الاستثمار بأن تشتري الدولار حين الرخص ثم تبيعه حين الغلاء فلا مانع منه .","السيستاني"
"91",131,"

هل يجوز اخذ قرض لغرض استثماره ويرجع بدخل لي يساعدني في حياتي ؟","يجوز اذا كان من دون فائدة واما اذا كان بفائدة فإن كان من شركة او مصرف فيه نسبة للحكومة جاز بأذن المرجع وسماحة السيد ياذن بذلك لعامة المؤمنين وان كان من شركة اهلية فلا يجوز.","السيستاني"
"92",NA,NA,NA,NA
"93",133,"

ماحكم الصناديق الأستثمارية في البنوك ؟","يجوز مالم يكن من ضمن الشركات الموقع عليها بين الطرفين شركة معاملاتها محرمة كما لوكانت تتعامل بالربا أوتتاجر بالخمور.","السيستاني"
"94",134,"

اعمل كوسيط بين مستثمرين وشركة استثمارية تستثمر في التجارة بالعملات مقابل نسبة من ارباح الاستثمار وقد عملت وساطة بين احد الاشخاص وهذه الشركة وبعد اتمام العملية اتضح لي ان هذا الشخص يتكسب بالحرام، ما حكم العمولة الماخوذة من هذه الوساطة؟","حلال لك.","السيستاني"
"95",135,"

يوجد سباق للخيل وتشرف علي هذا السباق مؤسسة الشباب والرياضة وهي مؤسسة حكومية وفي أثناء السباق يقوم بعض الجمهور بالمراهنة بالمال وقد تزايدت هذه الظاهرة بشكل ملحوظ بين أغلب مرتادي السباق، فما هو الحكم الشرعي لهذه المسألة؟","هذه المراهنة باطلة ولا أثر لها.","السيستاني"
"96",136,"

هل يجوز ممارسة كرة القدم؟","يجوز.","السيستاني"
"97",138,"

كرة القدم رياضة يمارسها الشباب والصغار والكبار وغالباً ما يتزامن وقت ممارستها مع وقت اذان (فريضتي المغرب والعشاء) مع ما لهما من فضل إذا أديتا في وقتهما ، فهل يترتب على تأخيرها إثم مضاعف؟","تأخير الصلاة عن أول وقتها وإن لم يكن حراماً ولكن يفوّت المكلّف بذلك فضيلةُ أول الوقت وقد عدّ ذلك في بعض النصوص المرويّة عن أهل البيت عليهم السلام تضييعاً للصلاة !.","السيستاني"
"98",139,"

ما هو راي سماحة السيد بممارسة لعبة (البيليارد)و ما حكم بيعها وشرائها؟","لايجوز مع الرهان بل وبدونه إن عدّت لعبة قمارية ولايجوز بيعها وشراؤها في الفرض.","السيستاني"
"99",142,"

ما هو الموقف الشرعي للعاملين في الصحافة الرياضيـة من محررين مصورين؟","لا بأس بعملهم ما لم يشتمل على محرّم كالترويج للالعاب المحرّمة ونحو ذلك.","السيستاني"
"100",143,"

ما هو الموقف الشرعي لارتداء اللاعب الملابس الرياضية القصيرة (الشورت) ؟","يجوز ذلك في حدّ ذاته للاعبين الرجال .","السيستاني"
"101",144,"

ما هي الالعاب الرياضية المحللة؟","تجوز ممارسة الألعاب الرياضية الكروية ، ككرة القدم والسلة والطائرة والمنضدة وكرة اليد وغيرها ، ويجوز مشاهدتها في الملاعب الرياضية أو على شاشات العرض المختلفة مع دفع مال أو من دونه، بشرط أن لا يستلزم ذلك حراما كالنظر بشهوة ، أو ترك واجب كترك الصلاة. كما تجوز ممارسة المصارعة والملاكمة من دون رهان إذا لم تؤد الى وقوع ضرر بدني بليغ.","السيستاني"
"102",147,"

بعض الألعاب الالكترونية تظهر على التلفاز بواسطة جهاز يسمى (الأتاري) ، ويلعب بها بواسطة أزرار وهي للتسلية وتلعب من دون رهان فما الحكم ؟","إذا كانت الصور التي تظهر على الشاشة صوراً لآلات قمارية لم يجز اللعب بها بواسطة جهاز الأتاري وإلاّ فهو جائز.","السيستاني"
"103",148,"

هل يجوز الاشتراك في الالعاب ذات الرسوم والخاسر هو من يدفع ثمن هذه الرسوم؟","يجوز.","السيستاني"
"104",149,"

ما هو حكم لعبة البليارد في الكمبيوتر؟","لا يجوز مع الرهان بل ومن دونه أيضاً على الأحوط إذا عدّت في عرف المحل من الآت القمار.","السيستاني"
"105",150,"

ما هو رأيكم بلعبة ( الدومينو ) في الحاسوب؟","هي لعبة قمارية، ولا تجوز مع الرهان وكذلك من دونه على الأحوط بلا فرق بين أن يكون اللعب بالادوات الخارجية أو في الحاسوب.","السيستاني"
