"","X.1","Question","Answer","Speaker","Words_Q","Words_A"
"38",38,"

What is the meaning of the expression used by the jurists that “there is no waiting period (‘idda) for an adulterous woman because of her adultery”?","It means that she is allowed to marry after having committed adultery without observing the ‘idda; and, if she is married, then it is permissible for her husband to have sexual relations with her without observing the ‘idda, she would need to seek repentance and forgiveness.","Sistani","adultery","adultery"
"39",39,"

What is meant by the expression “an adulterous woman known for adultery”?","It means that such a woman is known among the people for committing adultery in which case, it is not permissible to marry her as an obligatory precaution, unless she seeks repentance.","Sistani","woman,adultery","woman,adultery"
"40",40,"

If a married woman commits adultery with a man, what would be the ruling about them.","The married woman becomes permanently forbidden for him (obligatory precaution).","Sistani","woman","woman"
"69",69,"

What is the proper definition of 'backbiting'? Please, give some references from the Quran and Hadith also.","Backbiting means “speaking ill of a believer in their absence of someone with the purpose of disparaging him, no matter whether the alleged shortcoming was related to his body, lineage, behaviour, deeds, statements, religion, or life, and other defects which are [usually] concealed from the people. Similarly, it does not matter whether the description was done by words or by gesture.”
Almighty Allãh condemned backbiting in His noble Book and has described it such that mind and body feel abhorrence towards it. He said, “And some of you should not backbite the others: would anyone of you like to eat the flesh of his dead brother? No, you abhor it.” (49:12)
The Prophet (s.a.w.) said, “Be careful of backbiting because backbiting is worse than adultery, in that a person who commits adultery can repent and ask forgiveness from God, and Allãh can forgive him whereas Allãh will not forgive the backbiter until the person who was at the receiving end forgives him.”","Sistani","adultery,adultery","adultery,adultery"
"78",79,"

What is the blood money for aborting a child? Who is the blood money given to? Who receives the blood money?","In case the mother aborts the child, she must give the blood money (Diyyah) to the father or other heirs. And if the father carries out the abortion, the blood money (Diyyah) is obligatory on him and he must give it to the mother. If it is the doctor who carries out the abortion, it is obligatory on him to give the blood money although he may abort the child on the parents’ request, (though they would share in the sin). He must give the blood money except for when the heirs exempt him. 
It would suffice for the blood money of the fetus into which soul has entered to give 525 mithqals of silver. That is when the fetus is male and if it is female, half of that amount should be paid. As a measure of obligatory precaution, the Diyyah of the fetus which dies in the womb is also the same. 
1) If the fetus is lifeless and it is in the form of a fertilized ovum (zygote), 105 mithqals of silver would suffice for the blood money (0-40 days). 
2) In case it is in the form of a leech-like substance, the Diyyah is 210 mithqals (40-80 days). 
3) If it develops into a chewed-like substance, the Diyyah is 315 mithqals (80-120 days). 
4) If the fetus has bones, 420 mithqals of silver would suffice. 
5) If it has developed into a complete human body with grown up limbs and organs, the Diyyah is 525 mithqals of silver. 
If the fetus is soulless, there is no difference between a male fetus and a female one as an obligatory precaution.
6) If the soul has entered the body, then for a male 5250 mithqals, and for a female 2625 mithqals.
Soul enters the body at the fourth month of pregnancy except for when it is proved otherwise through modern equipment's.
*Every mithqal of silver is equivalent to 4.64 g of Silver.*","Sistani","mother,abortion,mother,abortion,female,female,female,pregnancy","mother,abortion,mother,abortion,female,female,female,pregnancy"
"89",92,"

Is it permissible for a woman to wear perfume when going out of her home?","It is not permissible for a woman to go out wearing perfume  if non-mahram men are aroused and attracted to her or if she intends to attract such men.","Sistani","woman,mahr","woman,mahr"
"93",96,"

Can I be in a friendly relationship with a girl in my class.","All kinds of relations with a non-mahram including joking, expressing mutual love, talking with the intention of deriving pleasure, looking at the body of a girl (except her face and hands up to the wrists) and at her hair or looking at her face with pleasure are Haram (forbidden).  In fact, if it is feared that they might fall into a sin, it is forbidden for them to have any kind of relationship with each other.","Sistani","mahr","mahr"
"106",110,"

Which is better for a woman,  performing prayers in a congregation or performing prayers individually?","It is recommended for women to attend congregational prayers as evidenced by an authentic tradition from the Commander of the Faithful, Ali (AS) that women used to attend congregational prayers but they were ordered to linger their sajda (prostration)  because some men were wearing tight garments but there is another authentic tradition which says that a woman's prayer at home is more virtuous than her prayer in a mosque. However, the conclusion that can be drawn from both traditions is that a woman's prayer at a place where she is not seen by non-mahram men (strangers) is more virtuous. If she can perform her prayers in a mosque without being seen by strangers, the prayer in a mosque would be more virtuous in that case.","Sistani","women,women,woman,woman,mahr","women,women,woman,woman,mahr"
"107",111,"

What is the ruling on the use of IUD and pills by a woman to prevent pregnancy?","It is permissible for a woman to use Intrauterine Devices (IUD) and other birth control devices provided that they do not pose serious harm to the woman’s health and that the insertion of the device does not involve a harãm act, such as the male touching or looking at the private parts of the woman’s body that are forbidden for him to look at. Similarly, it should not involve the female looking at, and touching without gloves the private parts that are harãm to touch or look at. Moreover, the IUD should not cause the abortion of the fertilized ovum after its implantation [in the womb].","Sistani","woman,woman,woman,female,abortion","woman,woman,woman,female,abortion"
"108",112,"

Use of contraceptives is popular these days. If use of the pill and similar things causes harm or difficulty and the only remaining choice is (the insertion) of some devices ó by a male or a female doctor ó which requires exposing the local area, is it permissible for the woman, knowing that pregnancy would cause her harm or difficulty?","It is permissible as long as she faces, in both the pregnancy and the use of alternative contraceptive methods, such hardship and danger that cannot be normally endured. If this requires, in addition to exposing the genital organs, other parts of her body surrounding the genitalia, then she must refer to a female doctor. If this is not possible then she may refer to a male practitioner .","Sistani","pregnancy,female","pregnancy,female"
"109",113,"

What about practicing coitus interruptus during intercourse?","It is allowed, yet its Makrooh (abominable), unless the wife gives permission,","Sistani","wife","wife"
"111",115,"

Is it permissible for a woman to use contraceptives in order to prevent conception?","It is permissible for a woman to use contraceptives  to prevent pregnancy, provided that it does not harm her health in a serious manner, irrespective of whether or not the husband has agreed to it.","Sistani","woman,pregnancy","woman,pregnancy"
"112",116,"

Some women wish to avoid pregnancy, but their husbands want (them to get pregnant). Is it permissible to use pills or injections to prevent conception?","It is necessary for a woman to submit herself to her husband and be available for him. However, she can use pills to prevent conception even if her husband does not want her to do so.","Sistani","woman","woman"
"113",117,"

Is it permissible to use condoms during sexual intercourse?","It is not permissible if the wife does not approve (obligatory precaution), however, if she consents then it is permissible to use condoms,","Sistani","wife","wife"
"117",121,"

What is the ruling on the sighting of the crescent and determining the st day of the month?","Sighting of the new moon is ascertained by knowledge of the actual sighting or through solid news of such sighting, or some other means. Certainty can also be achieved through common knowledge. Amongst other sources of ascertaining the sighting of the new moon is the lapse of thirty days on Sha’ban’s crescent for the start of Ramadhan to be confirmed, or thirty days on the crescent of Ramadhan for the new moon of Shawwal to be confirmed [and so on]. Sighting can also be confirmed by the evidence of two witnesses of impeccable character ('adil).
However, sighting of the new moon is not recognised by the evidence of women, or by the evidence of one just witness, even with oath, or by the words of astrologers. Neither by its absence after dawn dusk, so that it could be said that it belongs to a previous night, nor by the evidence of two just witnesses, if the evidence is not confined to their own sighting of the newly born moon. Sighting is not recognised too when it is seen before zawaal so that the day of sighting be from the ensuing month. The impression of a ring it may give, proving that it could belong to a previous night, cannot be accepted as well.","Sistani","women","women"
"130",134,"

 A woman, who is not obedient to her husband and does not carry out her matrimonial obligations, had, without his consent, left her matrimonial home and stayed with her parents for seven months. She, then went to a non-Islamic court, filed a divorce application, and demand maintenance and custody of the children. Has such a woman, who has violated her marital duties, any right in anything from her husband?","The said woman is not entitled to shari'i maintenance. As for her dowry and her right in nursing her offspring for the hawlayn (the two years), it should not be forfeited by virtue of nushouz (recalcitrance of the woman toward her husband).","Sistani","woman,dowry,woman","woman,dowry,woman"
"131",135,"

A wife neither obeys her husband nor fulfills her marital duties; she also goes out without his permission to stay with her own family for seven months. Then instead of having recourse to Islamic laws, she goes to a non-Islamic court in order to get spousal maintenance, custody of the children, and divorce from her husband. Does such a wife have the right in getting anything from her husband? In such a situation, when she goes to non-Islamic court it will apply non-Islamic laws to grant her divorce and her rights (spousal support and custody of children), does she deserve her full spousal rights?","The wife mentioned above does not deserve the spousal maintenance from a shari’a point of view. But her mahr (dowry) and her right of custody of children (under the age of two) should not be suspended because of her disobedience.","Sistani","wife,mahr,dowry","wife,mahr,dowry"
"134",138,"

A woman, who is not obedient to her husband and does not carry out her matrimonial obligations, had, without his consent, left her matrimonial home and stayed with her parents for seven months. She, then went to a non-Islamic court, filed a divorce application, and demand maintenance and custody of the infant children. Has such a woman, who has violated her marital duties, any right in anything from her husband?","The said woman is not entitled to shari'i maintenance. As for her dowry and her right in nursing her offspring for the hawlayn (the two years), it should not be forfeited by virtue of nushouz (recalcitrance of the woman toward her husband).","Sistani","woman,dowry,woman","woman,dowry,woman"
"135",139,"

A civil divorce, according to the law of a western country, took place. The husband is adamant not to grant his wife a shari'i divorce, does not provide maintenance for her and not accept mediation. What should the woman do, noting that her patience would certainly wear thin and, eventually, put her in an untenable situation (Haraj)?","She should seek redress with the Marji' or his deputy. He would advise the husband to choose one of two courses of action: Either pay his wife maintenance money or grant her Islamic divorce, albeit by proxy. Should he choose neither, and that it was not possible to pay maintenance money, the Marji' or his deputy should carry out the divorce .","Sistani","wife,divorce,divorce","wife,divorce,divorce"
"136",140,"

Is it necessary that there be two witnesses when the formula of divorce is being recited?","The presence of two just Mo'men (believer) male witnesses is required; without their presence the divorce would not be in order.","Sistani","divorce","divorce"
"137",141,"

If a mother advises her son to divorce his wife with whom she has differences, is it obligatory upon him to obey her in this matter? What if she says, “You are an ‘ãq (disowned) child, if you do not divorce her”?","It is not obligatory on him to obey her in this matter, and her statement [about him becoming disobedient] has no effect whatsoever. Of course, as mentioned earlier, it is necessary for him to hold back from any insulting statement or action towards her. He must reconcile with his wife and make sure to do whatever he can to save the marriage.","Sistani","wife,marriage","wife,marriage"
"139",143,"

If a Judge (Qazi) did all things for a divorce but didn’t give any certificate or any proof, can she get married again or she may have to wait for any certification or a period ?","Issuing a certificate is not a prerequisite or condition for the validity of divorce. {Meaning, a certificate issued cannot be enough proof for the validity of divorce}. There should be two just male witnesses and it should be carried out by the husband himself or his representative (wakil).","Sistani","divorce,divorce","divorce,divorce"
"140",144,"

My husband is Sunni and I want to separate from him. If he divorces me without the presence of any witnesses, is the divorce valid.","Yes, the divorce is valid if it is in accordance to his school of jurisprudence (Madhab).","Sistani","divorce","divorce"
"141",145,"

Can one recite a divorce, whilst the two witnesses are not actually present, rather are listening on the phone?","It is not correct to perform it in such situation (obligatory precaution), rather the two male witnesses must be actually present whilst the divorce is pronounced.","Sistani","divorce","divorce"
"145",149,"

Is it permissible for women to dance in front of other women or for men to dance in front of other men in a gender-wise segregated gathering?","Dancing of women in front of women or dancing of men in front of other men is problematic, as a matter of obligatory precaution, one must refrain from it.","Sistani","women,women","women,women"
"155",160,"

What is the rulings of His Eminence Grand Ayatullah Sayyid Ali Sistani (May Allah protect him) on sighting of the new moon crescent and determining the st day of the month?","Sighting of the new moon is ascertained by knowledge of the actual sighting or through solid news of such sighting, or some other means. Certainty can also be achieved through common knowledge. Amongst other sources of ascertaining the sighting of the new moon is the lapse of thirty days on Sha’ban’s crescent for the start of Ramadhan to be confirmed, or thirty days on the crescent of Ramadhan for the new moon of Shawwal to be confirmed [and so on]. Sighting can also be confirmed by the evidence of two witnesses of impeccable character (adl).
However, sighting of the new moon is not recognised by the evidence of women, or by the evidence of one just witness, even with oath, or by the words of astrologers. Neither by its absence after dawn dusk, so that it could be said that it belongs to a previous night, nor by the evidence of two just witnesses, if the evidence is not confined to their own sighting of the newly born moon. Sighting is not recognised too when it is seen before zawaal so that the day of sighting be from the ensuing month. The impression of a ring it may give, proving that it could belong to a previous night, cannot be accepted as well.","Sistani","women","women"
"190",199,"

I have a girlfriend whom I like to marry in future, can I express my love to her?","All kinds of relationship with a girl including joking, expressing love and becoming intimate are forbidden, before consuming the marriage contract (Nikah)","Sistani","marriage","marriage"
"194",204,"

Is it permissible for a man to touch his wife during Ihram?","yes, however, it is not permissible for a pilgrim, in Ihram, to touch his wife with lust.","Sistani","wife","wife"
"200",210,"

What are the Mustahab acts to be done after a funeral ceremony?","It is Mustahab that when the persons who attended the funeral have departed, the guardian of the dead person or the person whom the guardian grants permission should recite the prescribed supplications for the dead person.It is Mustahab that after the burial, the bereaved family is consoled, praying for their well being. However, if the condolence is given long after the event, and if it serves to refresh the sorrowful memories, then it should be avoided.
It is Mustahab that food be sent to the members of the family of the deceased for 3 days. It is, however, Makrooh to take meal with them in their homes.","Sistani","family,family","family,family"
"223",233,"

I am pregnant and would like to know whether I should fast or not.","Fasting is not obligatory on a woman in an advanced stage of pregnancy, for whom fasting is harmful or for the child she carries. For every day, however, she should give one mudd (750 grams) of food to poor. In both the cases, she has to give qadha for the fasts which are left out.
Also, if a woman who is not in an advanced stage of pregnancy but fasting is harmful or unbearably difficult, fasting is not wajib on her. She must keep the qadha later and there is no kaffara on her.
In both case, if a woman fails to observe the Qadha of the missed fast until next Ramadhan, she must, as an obligatory precaution, give another kaffara because of delaying the Qadha. ","Sistani","woman,pregnancy,woman,pregnancy,woman","woman,pregnancy,woman,pregnancy,woman"
"224",234,"

There is a woman who is breastfeeding her child and the child is dependent on the milk it is receiving from its mother. Can the mother break her fast since she fears for her child? Is it permissible for her not to fast?","If a woman is suckling a child, whether she is the mother or a nurse, or suckles it free, and the quantity of her milk is small, and if fasting is harmful to her or to the child, it will not be obligatory on her to fast. And she should give one mudd of food stuffs (wheat or flour or noodles) per day to poor.
In both the cases, she will later give qadha for the fasts left out. But this rule is specifically applicable in a circumstance where this is the only way of feeding milk to the child - (as an obligatory precaution). But if there is an alternative, like, when more than one woman offer to suckle the child, then establishing this rule is a matter of Ishkal.","Sistani","woman,mother,woman","woman,mother,woman"
"230",240,"

Does masturbating during daytime of Ramadhan invalidate the fast, regardless of whether or not it leads to ejaculation? What is the penalty that should be incurred by one who does so? What is the ruling for a woman who engages in masturbation during daytime of Ramadhan, irrespective of whether or not it leads to discharge?","If a person masturbates with the intention of ejaculating and actually ejaculates, his fast is rendered invalid and he must make it up by way of qadha as well as pay the penalty (kaffara) which is fasting for two successive months or feeding sixty poor people. If he masturbates with the intention of ejaculating but does not ejaculate, he must complete the fast with the intention of pleasing the Almighty and then do it qadha.
If he masturbates without the intention of ejaculating and he does not normally ejaculate, knowing that discharge is probable and it actually happens —he has to do qadha without the penalty. However, if such a person was confident that no discharge would take place and it actually happens — no qadha is required. In all these cases, there is no difference between a man and a woman.","Sistani","woman","woman"
"234",244,"

A discharges fluid when she starts thinking about her husband or when seeing something simply exciting? Does the emission make her fast void?","The fluid which a woman feels during foreplay or lustful thinking but it is not much to spread to other parts, is clean. Ghusl does not become obligatory in this case and it does not make wudhu void either but if there is much fluid and is called ejaculation and the fluid spreads to the underwear and this normally takes place during orgasm and full satisfaction, the fluid is najis (impure) and in this case ghusl becomes obligatory. In fact, if emission takes place without orgasm, the necessary precaution is that it is najis and it causes janabah.
Hence, if a woman enters the state of janabah intentionally with the details mentioned above, both Qadha and kaffara become obligatory on her. The obligatory precaution is that she should restrain from eating and drinking for the rest of the day. ","Sistani","woman,woman","woman,woman"
"287",298,"

I would appreciate, if you kindly tell me the necessary conditions by which a person becomes Mustati' (financially and bodily capable). I am asking this question because I really want to know whether or not I am qualified for Hajj.","Hajj is obligatory on a person once in his lifetime, provided that he fulfils the following conditions:
I. Being Baligh (adult).
II. Being sane and free.
III. Because of proceeding to Mecca for Hajj, should not be obliged to commit a Haram act, avoidance of which is more important than Hajj, nor should he be compelled to forsake an obligatory work which is more important than Hajj.
He should be capable of performing Hajj, and this depends upon a number of factors:
(a) He should possess provisions as described in relevant books and means for transportation, if need be, or he should have enough money to buy them, or get tickets.
(b) He should be healthy and strong enough to go to Mecca and perform Hajj.
(c) There should be no obstacle on the way. If the way is closed, or if a person fears that he will lose his life, or honor, while on his way to Mecca, or he will be robbed of his property, it is not obligatory on him to perform Hajj. But if he can reach Mecca by another route, he should go to perform Hajj, even if the other route is a longer one. But that route should not be unusually longer.
(d) He should have enough time to perform all the acts of worship in Hajj.
(e) He should possess sufficient money to meet the expenses of his dependents whose maintenance is obligatory on him, like, his wife and children, as well as the expenses of those who have to be paid.
(f) On return from Hajj, he should have some means of livelihood, like, income from the property, farming, business, employment etc. so that he may not lead a life of hardship.","Sistani","wife","wife"
"290",302,"

I am working in a company and supposed to shake hands with customers, male or female.  If don't do that, it would be considered impolite and there is a risk of losing my job and suffering the aftermath? What should I do?","A Muslim man is not allowed to shake hands with a woman without a barrier, such as gloves, unless refraining from shaking hands will put him in a considerable harm or unbearable difficulty. In the latter case, he is allowed to shake hands to the extent of necessity only.","Sistani","woman","woman"
"292",304,"

What is the best modest dress according to Islamic laws?","In the present time, the context of hijab is the modest covering of a Muslim woman. A woman should not show her beauty or adornments except what appears by uncontrolled factors such as the wind blowing her clothes, and the head covers should be drawn so as to cover the hair, the neck and the bosom. If one wears other than the Abaya, then it should cover the mentioned areas, and with that said a Muslim woman should prefer to choose wearing an Abaya (Chador).","Sistani","hijab,woman,woman,woman","hijab,woman,woman,woman"
"295",307,"

I am a married man and live in a joint family system; my father, mother, grand father, my younger brother and my uncle live in my house; how about my wife's hijab in such a situation?","Your wife is Mahram to your father and grandfather only and not to your uncle or brother, and must observe Hijab from them (your uncle and brother).","Sistani","wife","wife"
"296",308,"

Is the chin obligatory to be covered as a form of Hijab, or is it part of the face, and not obligatory to be covered?","When the woman wears Hijab, usually her head, neck and body is covered, including the chin and some extra area, this part is not compulsory to cover.","Sistani","woman","woman"
"305",317,"

Some women use certain pills to delay the onset of their monthly period so as to be able to perform their religious obligations, such as fasting and hajj  rituals. These pills upset the equilibrium of hormones in the body, which in turn affect the period, rendering it irregular, so much so that the duration, when the woman is tahir, is some ten days or more or slightly less. It is worth noting that the type of blood, of menstruation during this time, is identical to that which the woman witnesses during her regular period.
What is the ruling on this matter?","If the number of days of her being Tahir is ten days or more, the blood that appears before this duration and that which follows it should be treated as two separate Haydh  (menstruation). 
Should the duration of being Tahir be less than ten days, and the total of the two bloods and the intervening Tahir duration are more than ten days, the blood that coincides with the days of the period, not the other one, is considered Haydh, the other Istihadha (undue menses), as a matter of course, except when that which is in the period is ahead, and the second blood bears the characteristics of Haydh. In this case the part which is not exceeding ten days is allotted to the first haydh, even if it does not coincide with the days of period and the woman not being of an irregular period. If any one of them fulfils the conditions of period, she must consider the one that does as Haydh and the other, that does not, Istihadha. If both are equal, the inclination is to make the first Haydh, irrespective whether or not the two demonstrate the signs of Haydh.","Sistani","woman","woman"
"309",321,"

Is it necessary for a woman to compensate the prayers and fasts which she missed during menses?","A woman must perform the Qadha of the fasts which she has missed during her menstrual period. However, Qadha of prayers is not obligatory on her .","Sistani","woman","woman"
"312",324,"

Some women use certain pills to delay the onset of their monthly period so that they be able to perform their religious obligations, such as fasting and hajj rituals. These pills upset the equilibrium of hormones in the body, which in turn affect the period, rendering it irregular, so much so that the duration, when the woman is tahir, is some ten days or more or slightly less. It is worth noting that the type of blood, of menstruation during this time, is identical to that which the woman witnesses during her regular period. What is the ruling on this matter?","If the number of days of her being tahir is ten days or more, the blood that appears before this duration and that which follows it should be treated as two separate haydh (menstruation). Should the duration of being tahir be less than ten days, and the total of the two bloods and the intervening tahir duration are more than ten days, the blood that coincides with the days of the period, not the other one, is considered haydh, the other istihadha (undue menses), as a matter of course, except when that which is in the period is ahead, and the second blood bears the characteristics of haydh. In this case the part which is not exceeding ten days is allotted to the first haydh, even if it does not coincide with the days of period and the woman not being of an irregular period. If any one of them fulfills the conditions of period, she must consider the one that does as haydh and the other, that does not, istihadha. If both are equal, the inclination is to make the first haydh, irrespective whether or not the two demonstrate the signs of haydh.","Sistani","woman","woman"
"317",330,"

What’s the ruling for men attending mixed places such as swimming pools and gyms, where women are usually  indecently dressed?
Also what’s the ruling supposing that there is no lustful indecent look from the man.","Attending mixed swimming pools is not permissible, and also places that men and women are indecently dressed (semi nude) if it results in a sin (Haram), also in accordance to obligatory precaution they should be avoided even if does not result in a sin (Haram).","Sistani","women","women"
"323",337,"

I am a girl who has received many proposals for marriage but each time my father has done istikhara and it came out ""bad"". What should I do? Should I keep waiting until the istikhara comes out ""good""?","The woman and her guardians should give importance to the qualities of the man she chooses to marry. She should not marry except a man who is religious, chaste, of good character, not a drunkard or someone who commits sins and evil deeds. It is better not to reject the proposition of a man who is religious and of good character. The Prophet has said, “When a man whose religion and character pleases you comes to you [with a proposition], then marry him. If you do not do so, there will be chaos and a great corruption in the world.” It is not good to rely on Istikhara when he/she can do research about the character and background of someone who comes with a proposal.","Sistani","woman","woman"
"327",341,"

My aunt had received a house from her mother, brothers and sisters by mutual consent from their inheritances. Now my aunt has expired leaving behind only one married daughter (F) a widowed daughter-in-law (L) of her dead son (M) and two grandsons (A) and (H) from her dead son (M). What are their respective inheritances?","The daughter inherits her mother's entire property.","Sistani","daughter,mother","daughter,mother"
"340",355,"

Is it permissible for a Muslim man to marry a non-Muslim woman who is still married to a non-Muslim man? Is there an ‘idda period for her when she separates from her non-Muslim husband? What is the period of that ‘idda? Is it permissible to have sexual relations with her during the time when she is in the ‘idda from her non-Muslim husband? If she embraces Islam, how long will her ‘idda be,  if she intends to marry a Muslim man?","It is not permissible to marry her while she is married to a non-Muslim in a marriage which is recognized by them because she is a married woman. It is permissible to marry her temporarily after her divorce and after the completion of the ‘idda from her non-Muslim husband. (The period of her ‘idda is not different from the ‘idda of a Muslim woman.) Therefore, it is not permissible before the completion of the ‘idda.
If she becomes a Muslim after having had sexual relations with her non-Muslim husband and the husband has not embraced Islam, it is precuationarily obligatory for a Muslim not to marry her until after the completion of her ‘idda. But if she became a Muslim without having ever established sexual relations with her non-Muslim husband, then their marriage will be annulled immediately and there is no ‘idda in such a case.","Sistani","marriage,woman,divorce,woman,marriage","marriage,woman,divorce,woman,marriage"
