"","Question","Answer"
"11","
									السؤال : ما هي طرق تشخيص الأعلم ؟ علماً أن أهل الخبرة هم أدنى مستوى منه ، وأنهم غير مطَّلعين على الحكم الشرعي في مقام الثبوت والحكم الواقعي ، والذي يستطيع تحديد الأعلم هو القادر على معرفة تطابق الحكم الظاهري مع الحكم الواقعي .
فهل أن أسلوب التدريس ، وطريقة التفهيم ، والإجابة السريعة ، كافية للتشخيص ؟ أم أن هناك أسباب أخرى تقع في طريق التشخيص ؟
								","
									الجواب : هذه الأمور ليست مناطاً للأعلمية ، كما أن تطابق الحكم الواقعي والظاهري ليس مناطاً لها أيضاً ، بل المناط لها كون الشخص أجود فهماً للنصوص ، وأقدر وأكفأ على الجمع بينها بالنحو العرفي ، وأمتن في قواعده الأصولية ، وأشمل نظراً وملاحظة للقرائن الحالية والمرتكزات العرفية والمتشرعية ، وذلك أمر يدركه أهل الخبرة عند احتكاكهم بأطراف التفاضل ونظرهم في مَطالبه العمَلية .
								"
"12","
									السؤال : إذا تعذر على العامي تشخيص الأعلم لكثرة الثقات في طرح اسم العالم الأعلم ماذا يصنع عند ذلك ؟
								","
									الجواب :  يختار من يقوى فيه احتمال الأعلمية ، وإن لم يكن هناك من يقوى فيه احتمال الأعلمية من بين المجتهدين اختار الأورع منهم ، وإن لم يكن هناك من يمتاز بالورع اختار أيهم شاء .
								"
"13","
									السؤال : عند تعدادكم في ( منهاج الصالحين ) لشرائط مرجع التقليد لم تشترطوا الحياة كسائر المراجع ، فهل يعني هذا أنكم تجوِّزون تقليد الميت ابتداءً كما يبدو ؟ ولو كان الأمر كذلك فهل يجب حينئذٍ تقليد أعلمهم ؟
								","
									الجواب : إنما يجوز تقليد الميت ابتداءً في فرض نادر لا طريق لإحراز حصوله في غالب الأوقات ، ومنها زماننا هذا .
								"
"14","
									السؤال : هل يجوز للمرأة أن تكون مرجع تقليد ؟ وما هو حكم الذين يقولون بجواز ذلك ؟
								","
									الجواب : يشترط فيه الذكورة على الأحوط وجوباً .
								"
"15","
									السؤال : هل معرفة أحوال المسلمين ومشاكلهم في البلدان المختلفة - بما في ذلك ما يجب عليهم أن يسلكوه إزاء واقعهم والمستجدات - دخيل في تشخيص أعلمية الأعلم ؟ بحيث تدخل في الموازنة بين المجتهدين ، أم لا علاقة لها بذلك ؟
								","
									الجواب : لا أثر لذلك في الأعلمية المطلوبة في مرجع التقليد ، لأن المراد بالأعلمية فيه الأعلمية في استنباط الحكم الشرعي الكلي .
وأما استنباط أحكام الوقائع الشخصية المختلفة باختلاف الزمان والبلدان المتغيرة تبعاً للمستجدات فيمكن للمقلد القيام به بعد ضبط الموضوعات الكلية للأحكام الكلية التي يأخذها من مرجعه ، أو الرجوع فيها لمرجعه بعد شرح الحالة الخاصة وتحديدها له .
								"
"16","
									السؤال : أنتم تعتبرون في مرجع التقليد مرتبة عالية من العدالة ، فهل هذا معتبر في الحاكم الشرعي الذي له ولاية ؟ أو يختص بمرجع التقليد ؟
								","
									الجواب :  يختص بمرجع التقليد .
								"
"17","
									السؤال :  ما المراد بالعدالة في نظر سماحتكم ؟ وهل تختلف العدالة المأخوذة في مرجع التقليد عنها في إمام الجماعة ؟
								","
									الجواب : نعم تختلف العدالة المعتبرة في مرجع التقليد عن العدالة المعتبرة في إمام الجماعة ، حيث يشترط في المرجع أن يكون على درجة عالية من التقوى تمنعه من الوقوع في الحرام عادة ، وإذا وقع في المعصية ولو نادراً أسرع إلى التوبة ، بينما يشترط في إمام الجماعة أن يتجنب الكبائر ولا تصدر منه الصغائر بإصرار واستخفاف .
								"
"18","
									السؤال : لماذا يوجد أكثر من مرجعية في أخذ الأحكام الشرعية ؟ أليس هذا يؤدي إلى التفرق بين الشيعة ؟ وخاصة نلاحظ اختلاف المراجع في جواز بعض الأحكام وعدم جوازها عند مرجع آخر ؟
								","
									الجواب : بعد غيبة الإمام المعصوم ( عليه السلام ) لم يُفرض على الشيعة نظام يحصر المرجعية في واحد ، فإن النظام المذكور لو فُرض لسهل انحراف المرجع ، ولم يستطع المؤمنون التغيير بعد فرض النظام عليهم ، ولذا انحرفت المرجعيات في سائر الطوائف الإسلامية وغيرها .
أما إذا لم يُفرض النظام ، وأوكِل الأمر إلى قناعات الناس بتمامية الميزان الشرعي فيما بينهم وبين الله فإن الناس يبقى لهم القدرة على التغيير عند انحراف المرجع ، وبهذا بقيت الدعوة للحق وللميزان الشرعي في هذه الطائفة على طول المدة ، غاية الأمر أنه يلزم الاختلاف في الحق ، والاختلاف في الحق خير من ضياعه .
								"
"19","
									السؤال : هل أن الشياع في إثبات الأعلمية حجة في نفسه وإن لم يوجب العلم والاطمئنان ؟ أم أنه يكون حجة إذا أوجب العلم أو الاطمئنان ؟
								","
									الجواب : المراد بالشياع هو الشياع بين أهل الخبرة ، مع استناد إخبارهم للاطلاع على حال الرجل وغيره من الأطراف من طريق الاطلاع على مطالبهم العلمية وطريقتهم في الاستدلال من دون معارض مُعتدّ به ، ولو لكون كثرتهم موجبة للاطمئنان بخطأ المعارض لنُدرته ، ومثل هذا الشياع يوجب الاطمئنان أو العلم بالأعلمية .
وإنما يحتاج الشياع حينئذ عند عدم عدالة الشهود أو عند وجود المعارض ، أما مع عدالتهم وعدم المعارض فتكفي البينة .
وأما الشياع الذي لا يبتني على ما ذكرنا فلا عبرة به ، كالشياع بين العامة المستند لقول أشخاص قليلين بين أهل الخبرة المبتني على غير ما سبق ولو لعدم اهتمامهم بالفحص عن حال الآخرين ، أو لاعتمادهم على قول غيرهم من دون فحص عن حال الأطراف بأنفسهم ، وغير ذلك .
								"
"20","
									السؤال : هل يجوز التقليد في أُصول الدين أو المذهب - كالعدل ، والإمامة ، وكونها بالنص أو الشورى ، وغير ذلك - وغيرها من الأصول ؟ ولو أشرتم إلى الوجه في ذلك كان تفضلاً مشكوراً .
								","
									الجواب : الثابت بأدلة جواز التقليد هو جوازه في الأحكام العملية الفرعية ، أما غيرها من الأمور الاعتقادية فهي على نحوين :
الأول : ما يجب الاعتقاد به ، كـ( الإمامة ) ، واللازم تحقق الاعتقاد المذكور ، فإن كان الرجوع للغير موجباً لحصول الاعتقاد أجزأ - وإن كان المكلف غير معذور لو تحقق الخطأ لتقصيره في سبب الاعتقاد - ، وإن لم يوجب الاعتقاد - لاحتمال خطأ من رجع إليه - لم يجزئ ، لعدم تحقق الواجب .
الثاني : ما لا يجب الاعتقاد به ، لكن لا بُدَّ من عدم القول به إلا بعلم - من باب أن الإنسان مسؤول عما يقول - ، ولا يجوز القول بغير علم كحساب القبر ، ومنكر ونكير ، وتطاير الكتب ، فإنْ تحقق العلمُ من قول الغير جاز القول به ، وإن لم يتحقق لم يجز القول به ، بعد ما ذكرنا من اختصاص جواز التقليد بالأحكام العملية .
								"
"21","
									السؤال : اني من مقلدي العالم الفلاني، هل يجوز ان اقلد عالم اخر في فتوى معينة فقط علما انهم من نفس المذهب والدرجة العلمية ","
									الجواب : لا يجوز التبعيض في التقليد إلا في فروض نادرة أو غير واقعة نعم، إذا كان المرجع الجامع للشرائط لا يفتي في المسالة ويحتاط فيها وجوباً تخيّر المكلف بين العمل به والرجوع لمجتهد آخر، الأعلم فالأعلم مع الإمكان."
"22","
									السؤال : : لو لم يحرز المكلفُ الأعلمَ بين المراجع ، هل يجوز له تقليد من تتطابق فتاواه مع رغباته ؟ كأن يجوز لعب الشطرنج أو حلق اللحية ؟
								","
									الجواب :  إذا لم يحرز الأعلمَ تعيَّن الرجوع للمرجحات الأُخر ، كاحتمال الأعلمية والأورعية على ما هو مذكور في رسالتنا العملية ، ومع فقد المرجحات وصعوبة الاحتياط يتعين التخيير ، وحينئذ إنما يجوز تقليد الشخص المذكور إذا لم يخرج عن الضوابط المتقدمة .
								"
"23","
									السؤال : إذا كان المجتهد الذي أقلده يقول بالولاية الخاصة ، فهل لي تقليد المجتهد الذي يقول بالولاية العامة تقليداً كلياً ؟ أو تقليده في خصوص هذه المسألة ؟
								","
									الجواب : يجب تقليد الأعلم في هذه المسألة وفي غيرها .
								"
"24","
									السؤال : لو قال الفقيه أن فلاناً ثقتي فهل أن كلامه حجة على مقلديه ، بمعنى تنزيه ذلك الشخص والوثوق به ؟
								","
									الجواب : ليس كلامه حجة عليهم ، إلا إذا أوجب الوثوق لهم .
								"
"25","
									السؤال : هل يكفي في تحقيق التقليد أخذ الرسالة من المجتهد والالتزام بالعمل بمسائلها دون التطبيق في مجال السلوك والعمل ؟
								","
									الجواب : التقليد هو الرجوع للمجتهد والعمل على طبق فتاواه ولو في مسألة واحدة ، ولا يكفي مجرد اقتناء الرسالة العملية .
								"
"26","
									السؤال : ما المقصود بـ( الجاهل المقصر ) و( الجاهل القاصر ) ، وما هو الأثر الشرعي لكل منهما ؟ 
								","
									الجواب : المقصود بـ( الجاهل القاصر ) من لا يسعه التعلم والخروج من الجهل ، ويُعذر في جهله ، ولا يحاسب عليه ، والمقصود بـ( الجاهل المقصر ) من يمكنه التعلم ولا يبذل جهده في معرفة الحكم الشرعي ، ويحاسب على جهله لو وقع في مخالفة الحكم الشرعي ، وهما يختلفان في استحقاق العقاب مع الخطأ في العمل وعدمه .
								"
"27","
									السؤال : هل تكفي شهادة المجتهد لنفسه بالأعلمية حجة على ثبوتها ؟ وما قولكم بعدد من المجتهدين إن قالوا بذلك ؟ وهل أن إثبات الأعلمية كإثبات الاجتهاد ؟
								","
									الجواب : لا تكفي شهادة المجتهد لنفسه بالأعلمية في إثباتها ، وإنما يرجع في ذلك إلى الثقات من أهل الخبرة .
								"
"28","
									السؤال : في بعض مسائل التقليد يكون التكليف - مع اختلاف المجتهدين ، ومع تساويهما ، أو عدم إحراز الأعلم - هو الأخذ بأحوط القولين ، فما هو التكليف عند عدم إمكان الاحتياط ؟
								","
									الجواب :  يختار في تقليده لأحدهما .
								"
"29","
									السؤال : إذا كان تكليف الشخص الأخذ بأحوط القولين لمقلده الميت وللحي ، وكان الحي له قول أحوط لكنه لا على نحو ( الفتوى ) بل ( الاحتياط الوجوبي ) ، أيسوغ للشخص الرجوع للميت حينئذ ؟ أم أنه يرجع  إلى الحي الأدنى علماً من الحي الأول ؟
								","
									الجواب : يلزم عليه الاحتياط بمراعاة قول الميت .
								"
"30","
									السؤال : هل أن ولاية الحاكم الشرعي في جميع الموارد تختص بالأعرف بالتصرف ؟ أو أن هذا مختص بالولاية على صرف سهم الإمام ( عليه السلام ) فقط ؟
								","
									الجواب : ولاية الحاكم في سائر الموارد مطلقة ، وإنما اقتصرنا في سهم الإمام ( عليه السلام ) على القيد المذكور لاحتمال ولاية صاحب الحق الذي هو صاحب يد عليه ، فيكون أميناً عليه مسؤولاً به فلا يحق له الاستعانة بغير الأعرف بعد احتمال عدم ولايته ، بل يكون مفرطاً حينئذ .
								"
"31","
									السؤال :  هل يجوز الرجوع إلى أكثر من مجتهد في المسائل الشرعية ؟
								","
									الجواب :  إذا كان المقصود من ذلك التبعيض في التقليد فهو غير جائز ، وإذا كان المقصود منه الاحتياط بين الفتاوى فهو جائز .
								"
"32","
									السؤال : ماذا تقولون في قول أحد المراجع بأن من لا يقلده فجميع أعماله باطلة وغير مبرئة للذمة ؟
								","
									الجواب :  إعجاب الإنسان بنفسه لا يكون حجة على غيره ، ونسأله سبحانه أن يعيذنا وإياكم من مُضلات الفتن إنه ولي المؤمنين ، وهو حسبنا ونعم الوكيل .
								"
"33","
									السؤال : إذا كنت أقلد أحداً بالاطمئنان العقلي فعندما أرجع إلى منطقتي ويسألونني عن الأعلم هل أقول لهم من أقلد ؟ أم أتركهم حتى تطمئن له قلوبهم ؟ وما حكم من لا يستطيع منهم معرفة التقليد فيأخذ بقولي ؟ هل يعتبر مقلد لمن أقلد ؟
								","
									الجواب : إذا كان أهل منطقتك يرجعون إليك في تحديد مرجع التقليد وجب عليك توجيههم بعد أن تبذل جهدك في الفحص عن مرجع التقليد طبقاً للموازين الشرعية ، أداءً لهذه الأمانة .
								"
"34","
									السؤال : إذا كنت أقلد مرجعاً يقول بستر الوجه واليدين - الكفين - وأنا لا أستطيع العمل بهذا الحكم ، فماذا أفعل ؟
								","
									الجواب : إذا كان يفتي بوجوب ستر الوجه والكفين وجب الالتزام بفتواه ، وإذا كان يحتاط وجوباً في ذلك يجوز الرجوع إلى غيره ، الأعلم فالأعلم .
								"
"35","
									السؤال : هل يجوز التبعيض في التقليد ؟
								","
									الجواب : لا يجوز التبعيض في التقليد إلا في فروض نادرة أو غير واقعة .
								"
"36","
									السؤال : ما هي ولاية الفقيه ؟ وما هو مقدار العمل بها عند الفقهاء ؟ وما هو منشأ الولاية ؟
								","
									الجواب : فيها تفصيل لا يسعه المقام ، ولكنا أشرنا إلى موارد وجوب مراجعة الحاكم الشرعي في الموارد التي نرى فيها وجوب مراجعته عند التعرض لها في رسالتنا العملية ( منهاج الصالحين ) .
								"
"37","
									السؤال : هل تقليد الصبي المميز البالغ معتبر شرعاً ؟ بحيث يجوز له البقاء على تقليد الميت ؟
								","
									الجواب : نعم تقليده معتبر في المقام .
								"
"38","
									السؤال : إذا كان الشخص قد ظلل حال الإحرام اعتماداً على فتوى مرجعه ، فهل تجب عليه الكفارة برأيكم ؟
								","
									الجواب : لا تجب عليه الكفارة حينئذ .
								"
"39","
									السؤال : أحد المجتهدين العدول ( رعاه الله ) وصف أحد أركان الضلال عند المخالفين بأنه ناصبي ، فهل يجوز أن نطلق صفة الناصبي على أتباع ذلك الناصبي ومعتنقي أفكاره وإن لم نرجع لذلك المجتهد العادل بالتقليد ؟
								","
									الجواب : لا يكفي ذلك في إطلاق وصف الناصبي على الأتباع .
								"
"40","
									السؤال : كيف يصبح المرجع زعيماً للحوزة العلمية ؟
								","
									الجواب : هذا لقب مستحدث ليس له مصطلح مثبت عند أهل العلم ، وزعامة الحوزة العلمية تكون بأحد أمرين :
الأول : زعامتها في الثقافة الحوزوية ، بأن يكون على الشخص مدار التدريس في الحوزة .
الثاني : زعامتها في إدارة شؤونها في الماليات وغيرها من شؤونها ، كدفع الأشرار عنها ، والحفاظ على مكانتها ، وغير ذلك .
وغالباً لا يتيسر هذان الأمران في شخص واحد ، بل يشترك فيهما أكثر من واحد ."
"41","
									السؤال : هل يجوز العدول من الأعلم إلى الفقيه المساوي له ؟ أو الذي ليس هو من ضمن دائرة الأعلمية ؟
								","
									الجواب : لا يجوز ذلك .
								"
"42","
									السؤال : هل أن وجوب تقليد الأعلم احتياط أو فتوى ؟
								","
									الجواب : ليس احتياطاً وجوبياً بل فتوى .
								"
"43","
									السؤال : إذا تعينت المصلحة الإسلامية في تقليد غير الأعلم ، هل يجوز تقليده ؟ وتقدير المصلحة السالفة هل هي حكمية يرجع فيها إلى الفقيه أم موضوعية ترجع إلى المكلف ؟
								","
									الجواب :  تقليد الأعلم يبتني على حجية فتوى الأعلم الورع في معرفة الحكم الشرعي ، وعدم حجية المعارض له ممن هو دونه في العلمية ، وهي كحجية شهادة العدل في معرفة الموضوع ، ولا معنى لأن تقتضي المصلحة الإسلامية خلاف ذلك .
وعلى المؤمنين ( أعزَّ الله تعالى دعوتهم ) أن يتمسكوا معتزِّين بهذه القضية الشريفة ونحوها من قضاياهم الشرعية المبتنية على أُصولهم الرصينة ، وقواعدهم المتينة ، التي قادتهم وسارت بهم على مرِّ العصور ، وشقت بهم الطريق في ظلمات الشُّبَه والفتن ، والمصاعب والمحن ، حتى وصلوا بقوةِ حُجتِهم وتناسق دعوتهم إلى المقام الأسمى بين الفئات الأخرى ، التي ارتطمت بالشبهات ، وسقطت في هوّة التناقضات ، وإياهم وتركها والتفريط فيها ، فيتيهوا في التائهين ، ويتحيروا في المتحيرين .
والأولى بهم بدلاً من ذلك أن ينتبهوا إلى أن المصلحة الإسلامية - بل الواجب الأعظم الملقى على عواتقهم - هو التثبت في تشخيص صغريات هذه الكبريات الشريفة ، والتورع في ذلك ، وإبعادها عن المنافع الفردية ، والأهواء الشخصية ، والإخلاص لله تعالى في كل ما يتعلق بذلك ، طالبين بذلك الحقيقة للحقيقة ، أداءً للواجب ، وإحرازاً لبراءة الذمة .
فإنا محاسبون ومسؤولون أمام من ( يَعْلَمُ خَائِنَةَ الأَعْيُنِ وَمَا تُخْفِي الصُّدُورُ ) [ غافر : 19 ] ، ( يَوْمَ لا يُغْنِي مَوْلًى عَن مَّوْلًى شَيْئاً وَلا هُمْ يُنصَرُونَ ) [ الدخان : 41 ] .
وفي عقيدتي أن الله سبحانه وتعالى لا يضيع حجته ، ولا يعرض عن هذه الطائفة التي اختارها لتحمل رسالته وإبلاغ دعوته ، وإنما يُعرض عنا إن أعرضنا عن حجته البالغة ، ويكلنا إلى أنفسنا :
( وَإِن تَتَوَلَّوْا يَسْتَبْدِلْ قَوْماً غَيْرَكُمْ ثُمَّ لا يَكُونُوا أَمْثَالَكُمْ ) [ محمد : 38 ] .
ونسأله سبحانه العصمة والتسديد وهو حسبنا ونعم الوكيل .
								"
"44","
									السؤال : كثر الحديث من العلماء حول مسألة ( الأعلمية ) ، فبعضهم يقول فلان ليس الأعلم وفلان أعلم ، حتى وصل الحديث بين المكلفين إلى الخصومة ، فما رأيكم بهذه الأحاديث ؟
								","
									الجواب : اللازم على الكل التثبُّث فيما يدَّعيه ، وبعد التثبُّت لا داعي للخصومة ، بل كل يعمل حسب ميزانه الشرعي .
								"
"45","
									السؤال : إذا شهد أهل الخبرة بضَعف أدلة المجتهد الأعلم وقوة أدلة مجتهد آخر في مسألة أو مسائل معينة ، فهل يجوز أو يجب تقليده في خصوص هذه المسائل ؟ أو يبقى رأي الأعلم حجة فيها ؟
								","
									الجواب : إن كانت شهادتهم لمجرد قناعتهم ظناً أو جزماً بخطأ الأعلم في الحكم لأن مختاره في تلك المسائل يخالف ما يتراءى لهم بدواً ، أو يخالف فتاواهم - من دون نظر في استدلال الأعلم واستدلال غيره - فلا عبرة بشهادتهم .
وإن ابتنت شهادتهم على اطِّلاعهم على استدلال الطرفين وكيفية استنباطهما في المسائل المذكورة ، فإن رجعت شهادتهم إلى تضعيف مبنى الأعلم وكبرياته التي يعتمد عليها في الاستنباط فلا مجال للتعويل على شهادتهم ، بعد فرض كونه أعلم .
وإن رجع إلى تخطئته في الصغريات - كاستظهاره الخاص من النص أو من كلام أهل الخبرة ، واعتماده على نسخ مغلوطة ، وتخبطه في تطبيق الكبريات بصورة استثنائية - فلا بأس بالاعتماد عليهم إذا أوجبت شهادتهم سلب الوثوق برأيه في تلك المسائل .
								"
"46","
									السؤال : ما رأيكم في وجوب تقليد الأعلم ؟
								","
									الجواب : يجب تقليد الأعلم ، ومع تعذر معرفته يتعين الاحتياط ، ومع تعذره أو تعسره - كما هو الحال في غالب الناس - يتعين ترجيح مظنون الأعلمية ، ومع اختلاط الأمر يترجح الأورع ، وإلا يتخير ، على ما أوضحناه في المسألة السادسة من مسائل التقليد في رسالتنا ( منهاج الصالحين ) .
								"
"47","
									السؤال : ما هو تعريف الأعلم ؟
								","
									الجواب : الأعلم هو الأجود فهماً للنصوص ، والأقدر على الجمع بينها بالنحو العرفي ، والأمتن في قواعده الأصولية ، والأشمل نظراً للقرائن الحالية وملاحظة المرتكزات العرفية والمتشرعية ، وكل ذلك لا يدركه إلا أهل الخبرة .
								"
"48","
									السؤال : هل يجب البقاء على تقليد الأعلم في جميع المسائل ؟ أم في المسائل التي عمل بها في حياته ؟ أو تعلَّمها للعمل بها ؟
								","
									الجواب :  يجب البقاء على تقليده في جميع المسائل حتى التي لم يعمل بها ولم يتعلَّمها .
								"
"49","
									السؤال : إذا أراد المكلف تقليد عالم وجد أنه الأعلم ، فهل يجب توفر رسالته العملية في داره أو في المسجد ؟
								","
									الجواب : المهم في المقام هو الاطلاع على فتاوى المرجع ليعمل عليها ، سواء كان الاطلاع بالرجوع للرسالة العملية المطابقة لفتاواه ، أم بنقل الثقة لفتاواه ، أم من سؤاله بالمباشرة كتابة أو مشافهة .
								"
"50","
									السؤال : ما هي طرق تحصيل فتوى المجتهد ؟ وهل يكفي الاطمئنان بذلك لأجل العمل أو لنقل فتوى المجتهد إلى الآخرين ؟ أو لا بُدَّ من العلم بها ؟
								","
									الجواب : لا بُدَّ من العلم أو ما يقوم مقامه من الطرق الظاهرية ، كظهور كلامه ، ونقل الثقة عنه ، ولا يكفي الاطمئنان المجرد إلا أن يكون احتمال الخلاف من سنخ الوسواس عرفاً .
								"
"51","
									السؤال : هل ان اشارة بعض اهل الخبرة الى مرجع بالقول ان تقليده مجز ومبرء للذمة يكفي في تقليده اذا كان من ضمن مجموعة مراجع منحصرة فيهم الاعلمية ؟ وهل فيه اشارة الى اعلميته ؟
								","
									الجواب : نعم، يكفي ذلك في تقليده في فرض السؤال، واذا كان في التعبير اشارة الى الاعلمية ـ ولو بشاهد الحال ـ تعين تقليده وكذلك إذا اوجبت الشهادة رجحان احتمال اعلميته او التوقف في اجزاء تقليد غيره.
								"
"52","
									السؤال : ما المقصود بأهل الخبرة ؟
								","
									الجواب : هم الثقات من أهل الاختصاص والمعرفة الذين وصلوا إلى درجة من العلم تؤهلهم لتمييز الأعلم عن طريق المقارنة بين الآراء والأسس التي تعتمد عليها .
								"
"53","
									السؤال : إذا كان المجتهد الذي أقلده ليست له ( فتوى ) في المسألة وإنما ( احتياط وجوبي ) ، وكان للأعلم بعده ( فتوى ) ، كأن يقول بـ( الحرمة ) ، والأعلم الذي بعده يقول بـ( الحلّيّة ) أو ( الاحتياط الاستحبابي ) ، فهل يجوز لي أن أتجاوز الأعلم القائل بـ( الحرمة ) وأقلِّد القائل بـ( الحلّيّة ) أو ( الاحتياط الاستحبابي ) ؟
								","
									الجواب : لا يجوز ذلك .
								"
"54","
									السؤال :  لماذا في بعض الفتاوى يفتي المجتهدون بـ( الأحوط ) ولا يحددون بـ( الاستحبابي ) أو ( الوجوبي ) كما يذكرونها في الفتاوى الأخرى ؟
								","
									الجواب : قد يقع ذلك منهم اعتماداً على الضوابط التي يذكرونها في أول الرسالة لتحديد الاحتياط الاستحبابي والوجوبي .
								"
"55","
									السؤال : لقد تضاربت أقوال أهل الخبرة في الوقت الحاضر كما تعلمون في تشخيص الأعلمية ، فما حكم المكلف المبتدئ الذي يريد التقليد الآن ؟
								","
									الجواب :  يجب الاحتياط بين أقوال من اجتمعت فيهم شرائط التقليد في مفروض السؤال ، ومع تعذره وتعسره - كما هو الغالب - فاللازم اختيار من يرجح احتمال أعلميته على غيره ، ومع تساويهم في ذلك يختار الأورع منهم ، ومع تساويهم في ذلك يختار أحدهم ويقلده .
هذا في المقلد الابتدائي ، وأما من كان مقلداً - بوجه صحيح - مرجعاً سابقاً فاللازم عليه البقاء على تقليده حتى يثبت عنده بوجه شرعي أن بعض الأحياء أعلم من الأول ، فيعدل إليه حينئذ .
								"
"56","
									السؤال : عند عدم تيسر معرفة الأعلم هل يمكن للمكلف العمل بالاحتياط ، أو الاحتمال ، أو الظن ؟ أو يتخير وهو بعد لم يقلد المجتهد الذي يفتي بذلك ؟ أي أنه ما زال في مرحلة البحث عن المرجع الذي يجب عليه أن يقلده .
								","
									الجواب : يجب عليه الرجوع إلى كافة المجتهدين في هذه المسألة والعمل بأحوط الأقوال فيها ، ومع تعسُّر الاحتياط أو تعذره يختار أحدهم .
								"
