"","X","Question","Answer","Speaker"
"13",13,"

What is the stance of Islam in regards to adopting children and if a child is with the family from his or her early days and develops a bond, do the laws of Mahram and Non-Mahram still have to be observed?","Adoption in the sense of claiming a child as your own son or daughter and getting official legal documents for him or her in your name is not permissible. 
However, there is no Ishkaal (objection) in taking care of a child, raising him or her and showing love and care, which is in itself rewarding but the child's lineage has to be preserved. 
In addition, the child would remain non-Mahram once reached the age of Buloogh (puberty). 
At the appropriate moment, the child should be informed about it (being adopted0 and if one cannot inform the child, he should record it somewhere or ask someone to bear witness that he/she is not his child.","Sistani"
"14",14,"

Whats the ruling of the various forms alcohol that causes intoxication?","All forms of intoxicants are Haram (forbidden), whether they are Tahir (ritually pure ) or Najis.","Sistani"
"15",15,"

What about using the families of alcohol that are synthesized from petroleum and are used in perfume, medicine etc are they Najis and cannot be used during prayer?","All kinds of alcohol (whether extracted from wood or other sources) are Tahir (ritually pure),  and are not permissible to drink, except for wine which is also Najis, and Beer (Maa al-Sha'eir) which is also Najis (ritually impure) as an obligatory precaution.. 
So, the medicines and the perfumes containing alcohol are pure and can be used. 
It is also permissible to eat such food if the amount of alcohol is very minute, e.g., 2%, except for wine.","Sistani"
"16",16,"

What is the ruling about using perfume containing alcohol?","There is no problem in it.","Sistani"
"17",17,"

What is your opinion about the beer (Maa al-Sha'eir) which is sold on the market normally with a label that reads ""alcohol free"".","The drink that is made from barley and called ""Fuqa' in Arabic is definitely forbidden and Najis (ritually impure) as an obligatory precaution. This drink is not intoxicant normally but it makes one feel tipsy; that is a state of slight drunkenness caused apparently by low percentage of alcohol in the liquid.
Therefore, if a drink is produced alcohol free in the first place and it is not called ""Fuqa"" (beer), there is no problem, or else, it is forbidden even if alcohol is separated from it.","Sistani"
"18",18,"

My question is related to selling and consumption of ice-cream containing less than .% ethanol type of alcohol. I purchased an ice-cream business and now I am finding out that some of the ice-cream syrup contains less than .% ethanol type of alcohol. That syrup is then used to make ice-cream.
My question to you is: Can I (a Muslim) sell or eat this ice-cream made from syrup that contains less than .% of ethanol type of alcohol?","If it is not intoxicating, there is no objection in it; you can buy, sell and eat it.","Sistani"
"19",19,"

I am running a store and I have non-Muslim customers who want me to sell them alcoholic drinks. Can a Muslim buy and sell intoxicating alcohol to non-Muslims?","It is not permissible to buy and sell alcohol.","Sistani"
"20",20,"

Is it permissible to socialize or accept invitations from Muslims that are involved in business like selling alcoholic beverages and pork?","There is no problem in it.","Sistani"
"21",21,"

Is it permissible to consume medication that contain alcohol for ones treatment?","It is permissible to consume if the amount is very minute, e.g. 2%
If the amount of alcohol is more than 2%, then one may dilute the medication with water, so that the amount of alcohol becomes very minute, e.g. 2% or less and then consume it.","Sistani"
"22",22,"

I enter a restaurant with a group of friends, and we notice on our table, there is a sealed bottle of wine, which we did not order, and will not drink, is it permissible for us to continue sitting on that table and eat our meal?","There is no problem in it.","Sistani"
"23",23,"

What is the ruling concerning the alcohol found in some dental products like mouthwash and others?","It is Tahir (ritually clean), and permissible to use.","Sistani"
"24",24,"

Is it permissible to wail and cry loudly as well as beat one’s head and face in mourning for Imam Hussein, peace be upon him?","There is no problem in it .","Sistani"
"25",25,"

Is it permissible to jog (run at a steady gentle pace) in mourning processions which are taken out into the streets to commemorate the martyrdom of Imam Hussein, peace be upon him?","There is no problem in it per se .","Sistani"
"26",26,"

I would like to ask your opinion about taking off the shirts in mourning processions. Is it permissible for men to take off their shirts while beating their chests?","There is no problem in it.","Sistani"
"27",27,"

What is the Islamic law on wearing full black during the months of Muharram and Safar? Is it recommended or abominable (makrooh)?","It is good to wear black and it being abominable (Makrooh) is not proved.","Sistani"
"28",28,"

Is there any objection to people holding up chandeliers or flags ahead of the mourning processions?","There is no objection in it.","Sistani"
"29",29,"

Over the past thirty years, we have been placing candles in our local mosque as a sign of grief and lamentation. Can we give lamps to the mosque instead of burning candles?","There is no problem in it.","Sistani"
"30",30,"

What is the philosophy of Azadari (mourning and lamentation) for Imam Husain?","There is no doubt that the tragedy of Kerbala, when ascribed to the killers, is a criminal and terrible act. However when ascribed to Husain (A) himself, it represents a conscious confrontation and a courageous resistance for a sacred cause. The whole nation had failed to stand up to Yazid. They had succumbed to his will, and deviation and regression towards the pre-Islamic ways were increasing.
Passiveness by Husain (A) in this situation would have meant the end of Islam as we know it. Thus Husain (A) took upon himself the responsibility of the whole nation. The greatest tragedy was that one who stood up for the noblest of causes, the defense of Islam, was cut down in so cruel a manner.
It is for this reason that the sacrifice of Husain (A) is commemorated annually throughout the Muslim world. Our sorrow never abates as we relive the tragedy.
The commemoration of Ashura on the 10th of Muharram every year serves to remind us of the sacrifices of the family of the Prophet (S). It also makes us aware of the people, then and now, who tried to destroy Islam and the family of the Prophet (S) and all that they stood for - as well as those who watched, listened and did nothing.","Sistani"
"31",31,"

What is your ruling on an autopsy of a deceased Muslim?","It is not permissible to perform autopsy on the body of a dead Muslim for the sake of education and other purposes. It is only permissible, if the life of another Muslim depends on it—even if it is sometime in the future.","Sistani"
"32",32,"

In certain cases, some governmental agencies demand that autopsy be performed on the body of the deceased to establish the cause of death. When is it permissible to agree to their demand and when is it not?","No heir of a deceased Muslim is allowed to give consent for autopsy to be carried out on the body of the deceased for the purpose mentioned above and other similar purposes; and it is necessary for him to prevent the autopsy if possible. Of course, if another important factor at play that of equal or more importance than this basic rule such as securing the life of an innocent individual Muslim, it is permissible .","Sistani"
"33",33,"

How is puberty confirmed in a male?","Puberty in males could be confirmed if one of the four signs was present:
1. First: Completion of fifteen lunar calendar years of age (equal to about 14 years and seven months and fifteen days of the solar calendar).
2. Second: Ejaculation through sexual intercourse, or seminal discharge while awake or asleep.
3.Third: The presence of pubic hair, of the rough type.
4. Fourth: The presence of hair on the face and above the lips.  
Note: The presence of under arm and chest hair and the deepening of the voice are not the signs of puberty in Islamic law.
He should begin performing his religious duties when he attains the age of puberty.","Sistani"
"34",34,"

When is a girl considered adult from the viewpoint of Sharia?","She is considered adult at the completion of nine lunar years (equal to about eight years and eight months and twenty days of the solar calendar). 
She should begin performing her religious duties when she attains the age of nine lunar years, the age of puberty.","Sistani"
"35",35,"

What is the general ruling regards to artificial insemination?","There is no problem in it per se, however, since the process may involve masturbation, and implanting involves touching and seeing the private part, insemination would only be allowed when the parties involved may face difficulty in their life which is not normally bearable.
Also, regards to the matters of inheritance and Mahramiyat the parties involved need to refer to the specific Islamic Law rulings.","Sistani"
"36",36,"

Due to a number of miscarriages, the doctors have stated due to my condition, I can no longer get pregnant, are we, as husbands and wives, able to use our own fertilised egg and use a ""surrogate mother"", to carry the feotus in their womb?","If the sperm and egg belong to the husband and wife and the inseminated egg is then implanted in another woman's womb, there is no problem. It is permissible per se. However, since implanting involves touching and seeing the private part, insemination would be allowed only when the parties to the marriage may face difficulty in their life which is not normally bearable. If this is the case, looking and touching would be allowed to the necessary extent.  
However, when it comes to who the child belongs to, the owner of the egg or the owner of the womb, that is a problematic issue. In any case, precaution has to be observed in inheritance. As for mahramiyah, the owner of sperm is the legal father and the owner of the egg is mahram (related) to the child because she is her father's wife and the owner of the womb is mahram to him because she is like his mother.","Sistani"
"37",37,"

A man lived with a woman whom he intended to marry and also had sex with her without entering into a marriage contract (‘aqd); thereafter he married her in the proper religious way. Is their co-habitation before the ‘aqd considered marriage in the eyes of religious law? Does the subsequent ‘aqd have retroactive effect? What will be the status of the children born before the ‘aqd?","In [an Islamic] marriage, the spousal relationship is established by the verbal expression of the proposition and the acceptance (Nikah 'aqd). More over no action or deed that reflects the intention of marriage can be a substitute for the spoken words. Consequently, the marriage mentioned in the question is not valid except after the pronouncement of the religious marriage formula that does not have any retroactive effect.
As for the children, they will be considered legitimate if the parents did not know the law [requiring the ‘aqd] because their relationship will be classified as “wat’i bis-shubha”. But if both were aware of the law, their relationship is considered adulterous. Consequently the children will be deemed illegitimate. However, if only one knew about the law without the other, the children will be deemed legitimate in relation to the ignorant parent only.","Sistani"
"38",38,"

What is the meaning of the expression used by the jurists that “there is no waiting period (‘idda) for an adulterous woman because of her adultery”?","It means that she is allowed to marry after having committed adultery without observing the ‘idda; and, if she is married, then it is permissible for her husband to have sexual relations with her without observing the ‘idda, she would need to seek repentance and forgiveness.","Sistani"
"39",39,"

What is meant by the expression “an adulterous woman known for adultery”?","It means that such a woman is known among the people for committing adultery in which case, it is not permissible to marry her as an obligatory precaution, unless she seeks repentance.","Sistani"
"40",40,"

If a married woman commits adultery with a man, what would be the ruling about them.","The married woman becomes permanently forbidden for him (obligatory precaution).","Sistani"
"41",41,"

If an unmarried lady and a man have had pre-marital sex, are they allowed to enter marriage contract (Nikah) with each other?","Yes, they are allowed, after their repentance.","Sistani"
"42",42,"

Can I keep a cat, hamster, and rabbit in my house?","There is no problem in it,
Note: The body and the salive of the cat, rabbit, and hamster is ritually pure (Tahir), yet its urine, feaces, and blood are Najis","Sistani"
"43",43,"

If a dog licks my body or clothes, how should I purify it?","It is sufficient to wash it once. However, if the water is little, it is necessary to rid it of the water by wringing.","Sistani"
"44",44,"

Is it permissible to keep a dog as a pet in my house?","It is better not to, and its preferable to choose another animal as a pet, as a dog is ritually impure (Najis) according to Islamic law, and thus it would cause one to live with considerable difficulty. It's also been mentioned that prayers in a place with a dog around is abominable (Makrooh).","Sistani"
"45",45,"

Does cat hair affect ones prayers?","If there is a few cat hairs (one to three) on a person's body or cloth, his prayer is in order but if there are more than that, his prayer becomes void, as an obligatory precaution.","Sistani"
"46",46,"

Is the recitation of Adhan and Iqama for daily prayers and other prayers compulsory (Wajib)?","Adhan and Iqama for the daily obligatory prayers (i.e Fajr, Dhuhr, Asr, Maghreb and Isha), is recommended (Mustahab), however for the other obligatory and recommended prayers it is not been sanctioned in Islamic Law (they are not Mashru').","Sistani"
"47",47,"

Is the third testimony a part of Adhan and Iqamah?","Ash hadu anna Amiral Mu'minina 'Aliyyan Waliyyullah ( I testify that the Commander of the faithful, Imam Ali (AS) is the vicegerent of Allah) is not a part of Adhan and Iqamah, but it is good to say it after reciting Ash hadu anna Muhammadan Rasulul lah with the intention (Niyyat) of Qurbat (seeking nearness to Allah).","Sistani"
"48",48,"

If any one is praying at home, does he require to call Adhan for each prayer followed by Iqamah?","It suffices to call Adhan for both prayers if he/she combines between the prayers.","Sistani"
"49",49,"

What is the Islamic law about buying a car on installments? Many auto companies and authorized car selling agencies sell new and used cars on installments. Thus, when customers go to buy those cars, the companies refer them to certain institutions such as banks and insurance companies. The companies get back the capital as well as the interest in monthly installments stretched over a number of months or years. If someone fails to pay his installments on time, the company overcharges the defaulter.  The interest rate is determined on the basis of certain important factors such as the client's turnover, amount of income or timely-repayment of installments. The amount of interest generally paid is %, % or % or more or less. What is the Islam law with regard to buying a car on monthly installments keeping in view the foregoing details?"," If the loan providing companies first buy the cars from the agencies and then sell them to customers on installments with some increase (interest) as part of the prices of the cars, the transaction is in order. Indeed, if a penalty is imposed due to a customer failing to make payment on time, it is forbidden (haram). 
And if it means that the companies or agencies themselves sell the cars to customers, and in return the loan providing company gives the price of the cars to their manufacturers or agencies, and receives more money on installments from the customer, it is forbidden.","Sistani"
"50",50,"

What is your ruling on buying and playing lottery tickets and other such games of chance?","It is not permissible.","Sistani"
"51",51,"

What is the fatwa about selling meat of a dead animal to non-Muslims.","If it has any halal benefit, there is no problem in selling it.","Sistani"
"52",52,"

I know there is a company which is helping Israel monthly.  What is the fatwa about working in such a company and purchasing its products?","There is no permission as to dealing with Israeli products and products of companies which are known to be supporting Israel in an effective way. ","Sistani"
"53",53,"

Can a Muslim buy or sell wine or pork to non-Muslims? What is the fatwa on the income one gets by doing such a job?","It is not permissible  to sell these things and the income is not halal.","Sistani"
"54",54,"

Is it permissible to buy a carving or statue of a human being or an animal, male or female, for decoration?","There is no problem in buying and selling it, however carving and making a statute of a human or animal is not permissible (obligatory precaution).","Sistani"
"55",55,"

Is it haram or makrooh (reprehensible) to work on Ashura, Tasooa, and the days of the martyrdom of the Ahlulbayt (as)?","It is befitting for shopkeepers to shut down their shops and close their businesses on the occasion of the martyrdom of the Ahlul-Bayt, peace be upon them.  In fact, if keeping shops open is considered disrespectful to the Ahlul-Bayt, peace be upon them, it is necessary to avoid doing so.","Sistani"
"56",56,"

Is it permissible to drape a mosque with black cloths?","There is no problem in it.","Sistani"
"57",57,"

Are girls and women allowed to wear black coat and scarf all year round, even when it's not the months of Muharram & Safar?
Is it Makrooh?","There is no problem in it, and it is not abominable (Makrooh )","Sistani"
"58",58,"

Is it permissible to wear black Ihram?","It is discouraged to wear Ihram in black cloths; as a matter of precaution, this color must be avoided and it is preferred that the Ihram be of white cloths.","Sistani"
"59",59,"

 Following the death of a beloved, women wear black as a sign of grief, is this permissible?","There is no problem in it.","Sistani"
"60",60,"

Is it Makrooh to wear black on an ordinary day when it is not coinciding with the martyrdom of one the fourteen Infallibles?","It is not abominable (Makrooh )","Sistani"
"61",61,"

If transferring a deceased Muslim to Muslim countries entails great difficulty, is it permissible to bury the body in cemeteries of non-Muslims from among the followers of the revealed religions [that is, Ahlul Kitãb]?","It is not permissible to bury a Muslim in cemeteries of non-Muslims, except if that is only out of absolute necessity.","Sistani"
"62",62,"

What is preferable: burying a dead Muslim in an Islamic cemetery in a non-Muslim city in which he died or transferring the dead body to a Muslim city which entails exorbitant expenses?","It is preferable to transfer the dead to any holy shrines or other recommended places if there is a donor who can bear the expenses —from the heirs or others— or if the one-third of his estate which he has endowed for religious charity, would suffice for that purpose. If it involves a lot of hardship and is costly, it is not preferred.","Sistani"
"63",63,"

What is preferable: burying a dead Muslim in an Islamic cemetery in a non-Muslim city in which he died or transferring the dead body to a Muslim city which entails exorbitant expenses?","It is preferable to transfer the dead to any holy shrines or other recommended places if there is a donor who can bear the expenses —from the heirs or others— or if the one-third of his estate which he has endowed for religious charity, would suffice for that purpose, and there should not be any prohibited (Haram) act involved in the process, (e.g. removal of the deceases internal organs and blood).","Sistani"
"64",64,"

The Muslim communities in non-Muslim countries are increasing day by day. Knowing the fact that a deceased Muslim will one day be buried in the graveyard of non-Muslims either because of lack of funds available to the family to send the dead body to Muslim countries for burial or because of negligence; so, is it obligatory, as a matter of Wãjib Kifã’i, upon the capable Muslims to buy a graveyard for the Muslims?","Burying a deceased Muslim in a place appropriate to his status (other than non-Muslim graveyards) is an obligation of the heir just like other obligatory deeds connected with the burial procedures. And if the deceased has no heir or the heir is refusing to fulfill his duty or is not capable, it is obligatory, on the basis of kifã’i, upon other Muslims [to bury the deceased in an appropriate place]. And if fulfilling this wãjib kifã’i duty depends on acquiring a piece of land in advance by purchase or other means, it is obligatory to try and acquire it in advance.","Sistani"
"65",65,"

From where should the expenses of transportation to a Muslim country and burial come, if it is not possible to bury a Muslim in the city in which he died because there is no Muslim graveyard? Should these expenses come from the estate of the deceased before dividing it amongst the heirs? Or from the one-third [of the estate] if he has specified that? Or from other sources?","The expenses of burying a dead body in a place appropriate for it comes from the estate [before its distribution among the heirs] if he did not make a will specifying that it be taken from the one-third. Otherwise [if he made a will regarding the one-third], it should come out of it.","Sistani"
"66",66,"

When there is no heir for a deceased Muslim person in the foreign land, who should take charge of his burial?","If it is not possible to contact his heir and ask his consent in handling the burial procedures, the requirement of consent is lifted and it becomes obligatory, on basis of wajib kifã’i, on the Muslims to handle the burial.","Sistani"
"67",67,"

A Muslim died in a non-Muslim city that has no Muslim graveyard; and although it is possible to transfer the body to a Muslim country for burial but the cost of transportation is exorbitant—is this a sufficient [reason] for burying the body in the graveyard of non-Muslims?","This is not a sufficient [reason]. He must not be buried in a non-Muslim graveyard.","Sistani"
"68",68,"

In some non-Muslim countries, the corpse is placed in a coffin and then buried in the grave. What is our duty in such a situation?","There is no problem in placing the corpse in a coffin when burying him in the ground. However, the religious requirements of burial must be fulfilled; and one of those requirements is that the corpse be placed on its right side with the face towards the Qiblah.","Sistani"
"69",69,"

What is the proper definition of 'backbiting'? Please, give some references from the Quran and Hadith also.","Backbiting means “speaking ill of a believer in their absence of someone with the purpose of disparaging him, no matter whether the alleged shortcoming was related to his body, lineage, behaviour, deeds, statements, religion, or life, and other defects which are [usually] concealed from the people. Similarly, it does not matter whether the description was done by words or by gesture.”
Almighty Allãh condemned backbiting in His noble Book and has described it such that mind and body feel abhorrence towards it. He said, “And some of you should not backbite the others: would anyone of you like to eat the flesh of his dead brother? No, you abhor it.” (49:12)
The Prophet (s.a.w.) said, “Be careful of backbiting because backbiting is worse than adultery, in that a person who commits adultery can repent and ask forgiveness from God, and Allãh can forgive him whereas Allãh will not forgive the backbiter until the person who was at the receiving end forgives him.”","Sistani"
"70",70,"

An elderly person has a habit of doing gheebat and it is very difficult for me to stop him and I also do not want to hear but I am forced to. What should I do?","To listen to someone who is backbiting is not Haram in it self, however the listener must act in accordance to enjoining the good (Amr bil Marouf) and forbidding the evil (Nahy anil Munkar)., and if it is not effective one must show their dissatisfaction from the person performing the backbiting.","Sistani"
"72",72,"

If I do gheebah of a believer is it obligatory for me to tell them about it and ask them to forgive me? Is it true that Allah will not forgive me for doing gheebah of a believer unless that believer forgives me first? What if telling that believer (that I did his gheebah) will make him feel bad and damage my relationship with him, should I still tell him about it? If not, then how can I get forgiveness for that gheebah?","[In regards to compensating or making amends for backbiting which has been done] If there is no harm [any further aggravation of the situation] and even in the case where seeking forgiveness is considered a way to compensate for the disrepute which may have occurred, as an [obligatory] precaution they should seek forgiveness.","Sistani"
"73",73,"

Is French-cut beard permissible?","Based on obligatory precaution it is not permissible for a man to shave his beard. Similarly, it is not permissible for him to just leave the hair on his chin and shave the sides. This too is based on obligatory precaution, in this ruling, you may refer to the next learned Mujtahid.","Sistani"
"74",74,"

What is the minimum requirement for keeping a beard?","Shaving the beard is Haram based on obligatory precaution, and this includes the hair that grows on the sides of the face. However, there is no problem in shaving the hair that grows on the cheeks and the necks. The minimum requirement of beard should be as much as the custom norm (Urf) state that ""this person has a beard"", even if is for example trimmed to a beard size 3.","Sistani"
"75",75,"

Some men shave their beard and leave some hair on the chin alone. Is this sufficient according to Shariah?","French-cut box beard is not sufficient as an obligatory precaution. In this ruling, you may refer to the next learned Mujtahid.","Sistani"
"76",76,"

Is it permissible to shave beard, if one is faced with an unavoidable or a difficult situation?","It is not permissible for a Muslim to to shave his beard (obligatory precaution), unless if he is fears harm to his life by not shaving or if growing the beard would put him in difficulty (for example, if it becomes a cause of ridicule and humiliation that is not normally tolerable by a Muslim).","Sistani"
"77",77,"

If a person commits harãm by shaving his beard by razor baled on day one, is it permissible for him to do the same on the second, the third, the fourth day and so on?","It is compulsory to refrain from it as a measure of precaution.","Sistani"
"78",78,"

What is indemnity for beating a child or a man beating his wife or someone beating someone else leaving a scar on his/her body?","If a person hits another person on the face and his skin turns red, the blood money (Diyyah) is 1.5 Dinar and if he beats him on the body and his body turns red the blood money (Diyya) is half of it, i.e. 0.75 Dinar. 
If the face turns blue / green, the blood money (Diyyah) is 3 Dinars and on the body, the blood money (Diyyah) is half of it, i.e. 1.5 Dinars. 
If the face turns black, the blood money (Diyyah) is 6 Dinars and it is half of it on the body. i.e. 3 Diners. 
*One Dinar is equal to 3.5 grams of 21K (Karat) gold*  
Anything other than gold would not suffice as an obligatory precaution and it is permissible to compromise on the Diyyah amount.","Sistani"
"79",79,"

What is the blood money for aborting a child? Who is the blood money given to? Who receives the blood money?","In case the mother aborts the child, she must give the blood money (Diyyah) to the father or other heirs. And if the father carries out the abortion, the blood money (Diyyah) is obligatory on him and he must give it to the mother. If it is the doctor who carries out the abortion, it is obligatory on him to give the blood money although he may abort the child on the parents’ request, (though they would share in the sin). He must give the blood money except for when the heirs exempt him. 
It would suffice for the blood money of the fetus into which soul has entered to give 525 mithqals of silver. That is when the fetus is male and if it is female, half of that amount should be paid. As a measure of obligatory precaution, the Diyyah of the fetus which dies in the womb is also the same. 
1) If the fetus is lifeless and it is in the form of a fertilized ovum (zygote), 105 mithqals of silver would suffice for the blood money (0-40 days). 
2) In case it is in the form of a leech-like substance, the Diyyah is 210 mithqals (40-80 days). 
3) If it develops into a chewed-like substance, the Diyyah is 315 mithqals (80-120 days). 
4) If the fetus has bones, 420 mithqals of silver would suffice. 
5) If it has developed into a complete human body with grown up limbs and organs, the Diyyah is 525 mithqals of silver. 
If the fetus is soulless, there is no difference between a male fetus and a female one as an obligatory precaution.
6) If the soul has entered the body, then for a male 5250 mithqals, and for a female 2625 mithqals.
Soul enters the body at the fourth month of pregnancy except for when it is proved otherwise through modern equipment's.
*Every mithqal of silver is equivalent to 4.64 g of Silver.*","Sistani"
"80",80,"

Is it okay to donate blood?","It is permissible to donate blood.","Sistani"
"81",81,"

Is transfusion of blood from Non-Muslim to our body permissible?","There is no Ishkaal (objection) in it.","Sistani"
"82",82,"

Is the practice of magic permissible, in promoting good acts and removal of evil in some people?","It is not permissible.","Sistani"
"83",83,"

I have been told that I am under Black Magic. I feel that my mind is blocked and I cannot think and concentrate deeply. Also, I cannot think constructively which is destroying my professional and personal life. Kindly suggest me duas / amaal which I can do to come out of this painful trauma.","We advise you to read the Holy Quran, particularly the four chapters that begin with ""Qul"" i.e. ""Qul howallahu ahad"", ""Qul yaa ayyohal kaferoon"", ""Qul a'uzo berabbil falagh"", and ""Qul yaa ayyohal kaferoon"". At the same time, you should visit a doctor.","Sistani"
"85",85,"

What is your ruling on getting one's work done through bribery?","If someone's duty is to do a job without getting money but he does not do it without receiving it, giving money to get something done is permissible but it is haram for the recipient to use the money.
Yes, there are cases where bribery is Haram (forbidden), for example, in judiciary cases bribing the judge.","Sistani"
"86",86,"

A Muslim works in a non-Muslim country, in a private office, or in a government office, or on contract for a specific project where he is paid by the hour. Is it permissible for him to waste some hours or work negligently or intentionally delay the job? Does he deserve the full wages?","It is not allowed; and if one does so, he is not entitled to full wages.","Sistani"
"87",87,"

Is it permissible to work as salesman or cashier in shops that sell pornographic magazines? Is it permissible to deal in these kinds of magazines? Is it permissible to print them?","None of these [activities] is permissible because they aim at promoting forbidden acts and spreading obscenity.","Sistani"
"88",88,"

Is it permissible for a Muslim business owner to employ non-Muslims in his business even though there are Muslims who need jobs?","On its own terms, it is permissible; but based on the demands of Islamic brotherhood and the rights that Muslims have over one another, it is better to choose Muslims over non-Muslims as long as it does not entail any problem.","Sistani"
"90",90,"

Sometimes I see blood mixed with the saliva of my mouth. It often happens when I brush my teeth. What is the ruling on this kind of blood?","The blood, which comes from inside the teeth, vanishes as it gets mixed with the saliva, the saliva is Tahir (pure), and it can go down the throat.","Sistani"
"91",91,"

If blood is seen in the yolk or the white part of the egg, does it make the egg impure and haram for us? Is there a solution for it?","The clot of blood inside the egg is pure, but it is Haram [Forbidden for consumption]. Therefore, the egg can be eaten by removing the blood from it, provided it not very minute and been absorbed in it.","Sistani"
"92",92,"

Is it permissible for a woman to wear perfume when going out of her home?","It is not permissible for a woman to go out wearing perfume  if non-mahram men are aroused and attracted to her or if she intends to attract such men.","Sistani"
"93",93,"

Is salat valid if the person uses cologne? Is cologne ritually pure?","Yes, it is pure (Tahir) and Salat with it is correct.","Sistani"
"94",94,"

Is it permissible to chat with girls on the internet?","If it is feared that they might be drawn towards sin, it is not permissible. Normally chatting ends up in a sin for both sides. ","Sistani"
