"","Question","Answer"
"14","
									Question : I have heard that if a person fails to do taqleed, all of his good deeds will be invalidated, no matter how virtuous a devotee he may be. Is this true?
								","
									Answer : The individual ñ who has not reached the level of ijtihad, nor does he act on precaution between the edicts of the mujtahids ñ cannot guarantee the correctness of his deeds before Almighty Allah, unless they correspond to the edicts of a religious scholar who is an expert in Islamic jurisprudence, i.e. a mujtahid. Referring to the expert will relieve him from liability if the edicts of the mujtahid do not conform to the actual legislated laws of Allah Almighty. Without following the expert mujtahid, the person will be held responsible before The Almighty if the actions and transactions were not really in accordance to the religion.
								"
"15","
									Question : I would like to ask what is the procedure of changing oneís marja of taqleed?
								","
									Answer : You can change your marja by starting to refer to the edicts of the new marja and acting upon them. However, the change is permissible only if it is based on religious evidence, for example, when it is proven to you that the new marja is more knowledgeable than the current one.
								"
"16","
									Question : I have read on your site: ""The change (of a marja) is permissible only if it is based on religious evidence, for example, when it is proven to you that the new marja is more knowledgeable than the current one."" What would be an example of religious evidence? For example, if I asked members of ahl-ul-khibrah and they said that a mujtahid is more knowledgeable than the one I follow, would this be sufficient?
								","
									Answer : Yes, the testimony of the ahl-ul-khibrah is considered as religious evidence as long as it is based on referring to the researches of the mujtahids.
								"
"17","
									Question : Is it permissible to change my taqleed in a particular issue because the edict of the marja I am following causes hardship for me?
								","
									Answer : It is not permissible to switch from a mujtahid to another just because the second mujtahid's edict is easier to follow or pleases the individual more. The first marja must be followed as long as he is still fulfills all the conditions of the marja. However, if the marja that you are following has an obligatory precaution, then you can follow another qualified marja in that issue.
								"
"18","
									Question : If somebody is following a certain marja and he discovers that there is another marja who is at the same level of knowledge according to the view of members of ahl-ul-khibrah, can he choose between the two?
								","
									Answer : It is not permissible to change from the current marja unless it is proven by religious evidence that another mujtahid is more knowledgeable than him.
								"
"19","
									Question : as following a Mujtahid who I believed to be worthy of being a Marja, but I later realized after some research that and he was not the most knowledgeable and his ijtihad was questionable. A trusted person told me that a particular Marja was amongst the most knowledgeable Mujtahids, and I began following him although I was not certain that He was the most knowledgeable. Is my taqleed valid?
								","
									Answer : If it has been proven to you via religious evidence that there are Marjas who are more knowledgeable than the Marja that you used to follow, you should refrain from following the latter and search for the most knowledgeable amongst those Marjas. If you could determine him by religious evidence then you should emulate him. If you could not, you must choose the most pious amongst them and if the said is not possible too, you can choose one of them and emulate him.
								"
"20","
									Question : I would like to know if I can change my Taqleed from a living Mujtahid to Ayatullah Sayyid Sa'eed al-Hakeem?
								","
									Answer : You should stay on your Taqleed unless it is proven to you that his eminence Sayyid al-Hakeem (may Allah prolong his life) is more knowledgeable than your current Marja by referring to the experts who can certify this when they refer to the juristic derivation ways of both of them.
								"
"21","
									Question : If I am in the taql<U+012B>d of a certain marja, should I follow him only on Sharia matters or all matters?
								","
									Answer : It is obligatory on the individual to refer to the marja in learning about the religious rulings and implementing them in the matters of his worships, dealings, family relations and relations with other people, since the sharia has rulings and guidance for all issues that one could run into. In other aspects of life, the marja is referred to as an advisor since he has knowledge on the Holy Quran and the teachings of the Ahlulbait (peace be upon them).
								"
"22","
									Question : What is the age of religiously recognized adulthood (bulugh)?
								","
									Answer : Religious adulthood is recognized for the male by any of the following three signs, whichever happen first: 1. The presence of hard hair on his face or in the pubic area. 2. The release of semen, whether it was during a wet dream or when awake. 3. The completion of fifteen lunar years. The female reaches adulthood when she completes the age of nine lunar years.
								"
"23","
									Question : Is the act of emulation (taqleed) obligatory? If yes, then kindly give me a reference from the Quran?
								","
									Answer : Taqleed is an obligation based on intellect. Muslims are required to implement the laws of the Islamic religion, and they cannot be known in details and in a correct way except by referring to the people of expertise, who are the religious scholars and relying on them in their findings that they concluded by research and study. Evidence of this concept from the Holy Quran is when Almighty Allah said: ìAnd the believers should not all go out to fight. Of every troop of them, a party only should go forth, that they (who are left behind) may gain sound knowledge in religion, and that they may warn their folk when they return to them, so that they may beware.î(Qur'an, 122:9).
								"
"24","
									Question : I started referring to his eminence Sayyid al-Hakim (may Allah prolong his life) before I reached the age of adulthood. Is my Taqleed valid? Can I continue following him after I reach the mentioned age?
								","
									Answer : Your previous Taqleed is valid and you can continue to follow his Eminence.
								"
"25","
									Question : What is the ruling about someone who does not emulate a mujtahid?
								","
									Answer : Emulation (taql<U+012B>d) is a necessity when a lay believer faces a situation where he does not know the correct religious ruling, as he is supposed to refer to the expert to get the proper answer. Otherwise, without referring to the expert and implementing the ruling, he would be liable for the mistake, whereas he will not be liable when he refers to the expert, even if the latter made a mistake. Taql<U+012B>d secures a layperson from liability before the Almighty Allah.
								"
"26","
									Question : The concept of (taqleed) has been popular recently. I am not convinced of its religious obligation. Can you help me?
								","
									Answer : The popularity of the concept of (taqleed) amongst the masses in these days is due to the broad existence of means of communication which have led to the wide spread of knowledge of religious laws. It is not because the concept is new. Rather, it was present at the time of the Imams (peace be upon them) when they were directing their companions and followers, in general, to learn the religious laws. This naturally led to many people asking questions about their affairs, and it was not practical for all of them to reach the Imam (peace be upon him) and ask him in person, so they used to refer to his close companions who could be reached to gain knowledge in religious laws. There were known narrators who were giving edicts to people and the Shias used to refer to them during those days, like Muhammad bin Muslim, Zurarah, Zakariyya bin Adam and others. This need continued to exist after the occultation of the Twelfth Imam (peace be upon him) until now. It is a natural need and a sensible process, as people refer to the experts in various fields like medicine, engineering and other kinds of expertise, as people are not satisfied with their own limited knowledge in these areas.
								"
"27","
									Question : How can I bring myself in to taqleed?
								","
									Answer : One will begin doing the taqleed, by referring to and acting upon the edicts of the religious scholar who has reached the level of ijtihad, has the qualifications of a marja and he is the most knowledgeable.
								"
"28","
									Question : Do I have to follow one Marja in a particular issue, or can I follow more than one in that issue, choosing one of their edicts?
								","
									Answer : If the edicts of the Marjas are different in any particular issue, one must follow the most knowledgeable. If his opinion is an obligatory precaution, one has a choice of following him by acting upon the precaution or referring to another Marja provided that the latter is more knowledge than the rest of the Marjas.
								"
"29","
									Question : Is following one Marja obligatory, or can one follow multiple Marajas by practicing precaution on the issues which have differences of opinion?
								","
									Answer : It is permissible to act in precaution by ensuring that oneís acts are not against the edicts of any one Marja. This will not be considered to be emulation (taqleed).
								"
"30","
									Question : Is it necessary to follow the most knowledgeable religious scholar?
								","
									Answer : Yes, it is obligatory to follow the most knowledgeable Mujtahid.
								"
"31","
									Question : When one is starting taql<U+012B>d and is choosing a marja, how does one make a decision? Is it obligatory to follow the most knowledgeable? What if there are maraja who say that it is not obligatory to follow the most knowledgeable?
								","
									Answer : When a person starts emulating a marja after he realizes his responsibility in observing the rulings of the Sharia, he refers to the basic logic that every sane person will arrive at, and upon which one will be responsible to act in accordance to. There is no doubt that this logic obligates the ignorant to refer to the knowledgeable in what the latter knows. As the knowledgeable in the religious sciences (i.e. the mujtahids) differ in their views in various religious rulings, including their view in following the most knowledgeable, it becomes necessary to follow the edicts of one of them based on a distinguished characteristic that others do not possess, which is being the most knowledgeable. Although the views of some of the mujtahids do not necessitate following the most knowledgeable, but in order to assure that we fulfil our responsibility of observing the Sharia with certainty, the initial logical ruling leads to following the edicts of the most knowledgeable in the issue of referring to the most knowledgeable mujtahid. This is so because the view of mujtahids who do not necessitate following the most knowledgeable allow following the most knowledgeable. To the contrary, the views of those who necessitate following the most knowledgeable do not allow following any mujtahid other than the most knowledgeable. In other words, following the most knowledgeable is obligatory according to some and permissible according to others, whereas not following the most knowledgeable is permissible according to some and prohibited according to others. It is natural then to follow the most knowledgeable in this issue. If his view ñ in this issue ñ necessitates following the most knowledgeable, one should follow him in the rest of his views. If his view does not necessitate following the most knowledgeable, then one can follow another mujtahid.
								"
"32","
									Question : If one is not aware of the differences between marja's opinions on a particular ruling, and does not know the verdict of his own marja, can he follow the edict of another marja'?
								","
									Answer : If one is aware that there are differences between the maraja's in the rulings that affect him, which is usually the case, then he must observe precaution. Since this is not practical for many to do so, he must find the most knowledgeable from them and follow him.
								"
"33","
									Question : How can we know that one Mujtahid is most knowledgeable?
								","
									Answer : The scholars have mentioned in their treatises of practical Islamic laws the ways to determine the most knowledgeable, and one of those ways to is to refer to the people of expert (known as the ahl-ul-khibrah) who can differentiate between mujtahids and determine the most knowledgeable.
								"
"34","
									Question : How do I know who the ahl-ul-khibrah (people of expertise) are so that I may ask them about the most knowledgeable mujtahid?
								","
									Answer : The ahl-ul-khibrah are those who can recognize the most knowledgeable by his writings, research and edicts. Those experts can be reached through communicating with the Howza. If such communication is not possible or determining the most knowledgeable is not possible, one is required to choose one of the scholars who have reached the level of ijtihad and fulfil the conditions of being a marja, and follow him. The chosen should be the most God-fearing amongst them if possible. Otherwise, the believer can choose one of them and follow his verdicts.
								"
"35","
									Question : These days people have been saying that they do not do ""blind"" taqleed, and they follow those rules of a marja which are not against the Quran or the narrations, and they reject those which are against them. Is this a correct method?
								","
									Answer : The emulation that Shias do is not blind taqleed. It is, rather, based on vision and wisdom, since everybody is asked to observe the Sharia and act upon its obligations and refrain from what it prohibits; and at the same time, a normal Muslim does not possess the specialized capabilities to know the laws of the religion. It becomes natural for those who are not experts in this field to refer to the jurist who specializes in deriving the rulings of the Sharia after exerting great efforts in order to reach religious conclusions. Taql<U+012B>d is commonly practiced by people all the time, when they refer ñ in the aspects that require expert knowledge and scientific efforts ñ to those who specialize in the specific fields, like medical doctors and engineers, and they act upon their findings and conclusions. Moreover, the Holy Quran and the Sunnah hold a central position in the process of derivation of the mujtahid, so naturally the rulings of a mujtahid ñ who fulfills the conditions of being a marja' ñ will not be against them. Therefore, bearing all this mind, it is not within the non-expert Muslim's domain to judge a mujtahid's edicts, otherwise his judgment will be without any base.
								"
"36","
									Question : In social matters, is it permissible to follow the marja who is the most learned in sociology, and similarly follow the most knowledgeable in other matters?
								","
									Answer : It is not permissible to do taqleed of more than one marja.
								"
"37","
									Question : To me, all the mujtahids are equally knowledgeable and God-fearing, and I cannot distinguish between them. What should I do?
								","
									Answer : It is not possible for non-expert Muslim to find out the most knowledgeable and God-fearing, he should refer to the experts to determine this. If you could not ascertain the most knowledgeable, or the most God-fearing, based on what the experts inform you, then you can choose one of marjas and follow his edicts.
								"
"38","
									Question : Who is the most leading and knowledgeable jurist (mujtahid) currently?
								","
									Answer : One should refer to the trusted experts who possess the ability to determine the most knowledgeable in deriving the religious rulings and the most understanding of the religious texts.
								"
"39","
									Question : Is it a condition in the marja to be a man?
								","
									Answer : Yes, as an obligatory precaution.
								"
"40","
									Question : I am in the process of selecting a marja to emulate, and have been recommended His Eminence Sayyid al-Hakeem. Can I rely on his book of Islamic laws in order to decide to follow him?
								","
									Answer : It is obligatory on individuals to follow the most knowledgeable when possible and that can be determined by referring to the experts who are able to determine who this is. It is not permissible for lay people to base the choice of their marja on learning about his verdicts and feeling comfortable with them.
								"
"41","
									Question : If a lay person decided on who is the most knowledgeable mujtahid based on his own research and without needing to ask the religious scholars who can determine the most knowledgeable, would this be sufficient?
								","
									Answer : A lay individual is not qualified to determine the most knowledgeable in the right way without referring to whoever can determine him amongst the experts, since theyñ and not any inexperienced person ñ are the ones who know the level of knowledge of the people that reached the level of ijtihad.
								"
"42","
									Question : Is knowing politics, economics and other worldly sciences a condition to be a mujtahid or not?
								","
									Answer : The said sciences are not directly related to reaching the level of ijtih<U+0101>d. However, during the research for a religious answer to an issue that relates to another field, like politics, economics or medicine, a scholar is expected to make sure that the issue is understood in such a way that the obligation before Almighty Allah to know the subject of the religious verdict is fulfilled. This might require that the religious scholar has some level of knowledge or expertise in these areas, or that he refers to the experts in these sciences. With this knowledge, the religious verdict is determined using the religious sciences and evidences that he already possesses.
								"
"43","
									Question : How does a student of Islamic studies reach the level of ijtihad?
								","
									Answer : Ijtihad is a talent gained after reaching a level of knowledge through which a student of religion is able to know the religious ruling from its rightful sources, i.e. the Holy Quran and the narrations of the Prophet and the Imams (peace be upon them). It is natural for this to require a long period of time and dedication, in addition to piety and God-fearing in such a way that one becomes sincere in his research for the truth, as it is prohibited to give an edict without knowledge, as the religious teachings emphasize.
								"
"44","
									Question : Can we do taqleed of a person who has reached the level of ijtihad, or are there some other qualifications for him to become a marja'?
								","
									Answer : It is compulsory to follow the most knowledgeable amongst those who have reached the level of ijtihad, and it is not sufficient to follow any mujtahid.
								"
"45","
									Question : Is it permissible to rely on istikhara to determine the most knowledgeable jurist amongst the qualified mujtahids?
								","
									Answer : It is not permissible to depend on istikhara in determining one's marja.
								"
"46","
									Question : What is meant by the term ""Adalah""?
								","
									Answer : Adalah ñ as a condition in the imam of the congregational prayer and in the witness ñ is a level of fearing Almighty Allah that leads to avoiding the committing of major sins. Committing small sins without insistence does not affect it. Adalah ñ as a condition in the marja ñ is a high level of God-fearing which leads the person to refraining from disobeying the religious laws and committing sins ñ whether the sins are small or major. If on the rare occasion he commits a sin, he would rush to repent to Almighty Allah and seek his forgiveness. A person who holds 'ad<U+0101>lah is called ""adil"".
								"
"47","
									Question : Since it is obligatory to follow the most knowledgeable mujtahid ñ the most capable in deriving the religious laws from the appropriate sources ñ I am unable to find the ahl-ul-khibrah to refer to them in order to determine him. However, I have found multiple mujtahids who have all the necessary qualification to be followed in taqleed. Can I follow any one of them?
								","
									Answer : If the mujtahids are equal in knowledge or you are not able to determine the most knowledgeable amongst them, and if observing precaution ñ to guarantee that the religious obligations are fulfilled ñ is not a possibility, one must choose the most God-fearing amongst the most knowledgeable mujtahids. If this is not possible as well, any one of them can be chosen to be followed.
								"
"48","
									Question : Can one depend on his parents in determining the most knowledgeable mujtahid?
								","
									Answer : It is permissible for the individual to depend on his parents in finding out the most knowledgeable if he trusted their choice to be in accordance with the religious guidelines ñ e.g. referring to the ahl-ul-khibrah. If he does not, then he should do his own research based on those guidelines.
								"
"49","
									Question : I would like to ask what is the procedure of changing oneís marja of taqleed?
								","
									Answer : You can change your marja by starting to refer to the edicts of the new marja and acting upon them. However, the change is permissible only if it is based on religious evidence, for example, when it is proven to you that the new marja is more knowledgeable than the current one.
								"
"50","
									Question : I have read on your site: ""The change (of a marja) is permissible only if it is based on religious evidence, for example, when it is proven to you that the new marja is more knowledgeable than the current one."" What would be an example of religious evidence? For example, if I asked members of ahl-ul-khibrah and they said that a mujtahid is more knowledgeable than the one I follow, would this be sufficient?
								","
									Answer : Yes, the testimony of the ahl-ul-khibrah is considered as religious evidence as long as it is based on referring to the researches of the mujtahids.
								"
"51","
									Question : Is it permissible to change my taqleed in a particular issue because the edict of the marja I am following causes hardship for me?
								","
									Answer : It is not permissible to switch from a mujtahid to another just because the second mujtahid's edict is easier to follow or pleases the individual more. The first marja must be followed as long as he is still fulfills all the conditions of the marja. However, if the marja that you are following has an obligatory precaution, then you can follow another qualified marja in that issue.
								"
"52","
									Question : If somebody is following a certain marja and he discovers that there is another marja who is at the same level of knowledge according to the view of members of ahl-ul-khibrah, can he choose between the two?
								","
									Answer : It is not permissible to change from the current marja unless it is proven by religious evidence that another mujtahid is more knowledgeable than him.
								"
"53","
									Question : as following a Mujtahid who I believed to be worthy of being a Marja, but I later realized after some research that and he was not the most knowledgeable and his ijtihad was questionable. A trusted person told me that a particular Marja was amongst the most knowledgeable Mujtahids, and I began following him although I was not certain that He was the most knowledgeable. Is my taqleed valid?
								","
									Answer : If it has been proven to you via religious evidence that there are Marjas who are more knowledgeable than the Marja that you used to follow, you should refrain from following the latter and search for the most knowledgeable amongst those Marjas. If you could determine him by religious evidence then you should emulate him. If you could not, you must choose the most pious amongst them and if the said is not possible too, you can choose one of them and emulate him.
								"
"54","
									Question : I would like to know if I can change my Taqleed from a living Mujtahid to Ayatullah Sayyid Sa'eed al-Hakeem?
								","
									Answer : You should stay on your Taqleed unless it is proven to you that his eminence Sayyid al-Hakeem (may Allah prolong his life) is more knowledgeable than your current Marja by referring to the experts who can certify this when they refer to the juristic derivation ways of both of them.
								"
"55","
									Question : I am following a current Marja. After doing research, I concluded that Ayatollah Sayyid Saeed al-Hakeem (may Allah prolong his life) is the most knowledgeable. Is permissible to change my Taqleed to follow him?
								","
									Answer : Yes, it is permissible to do so.
								"
"56","
									Question : Should I remain emulating a Marja after his death?
								","
									Answer : If it was proven to you that one of the living Marjas is more knowledgeable than the deceased Marja that you used to follow, then it is obligatory on you to switch to the living Marja. If this is not proven to you and you used to follow a religious scholar that satisfied the characteristics of the Marja then you should continue following him.
								"
"57","
									Question : Is it possible to change oneís Marja because the first Marjaís verdicts are very difficult to follow in comparison to the second Marjaís verdicts?
								","
									Answer : After choosing a certain Marja who is qualified to be followed and following him, you should continue following him, until it is proven to you via religious evidence that indicates that there is a more knowledgeable living Mujtahid than the current Mujtahid. It is not permissible to pick verdicts from another Marja just because it suits you.
								"
"58","
									Question : I was doing the Taqleed of a scholar who says that if I do a certain action I must pay a kaffara. I did the action, but before paying the kaffara I did more research and switched to your taqleed. After reading your rulings, I found that you do not require a kaffara to be paid. In such a case, do I act on your ruling and not pay, or am I still obligated to do so?
								","
									Answer : A Kaffara is not obligatory in the said case.
								"
"59","
									Question : I am not following the rulings of Ayatollah Sayyid Mohammed Saeed Al-Hakeem, but wish to follow his rulings in regards to marriage issues. If I do so, will my marriage be valid?
								","
									Answer : If the marja who you emulate has an actual edict on the issue related to marriage ñ or any other issue ñ then one must act in accordance to his edict and he is not permitted to refer to another marja. If the opinion of your marja is compulsory precaution on a particular ruling, then it is permissible to refer to the opinion of another marja.
								"
"60","
									Question : I have heard that if a person fails to do taqleed, all of his good deeds will be invalidated, no matter how virtuous a devotee he may be. Is this true?
								","
									Answer : The individual ñ who has not reached the level of ijtihad, nor does he act on precaution between the edicts of the mujtahids ñ cannot guarantee the correctness of his deeds before Almighty Allah, unless they correspond to the edicts of a religious scholar who is an expert in Islamic jurisprudence, i.e. a mujtahid. Referring to the expert will relieve him from liability if the edicts of the mujtahid do not conform to the actual legislated laws of Allah Almighty. Without following the expert mujtahid, the person will be held responsible before The Almighty if the actions and transactions were not really in accordance to the religion.
								"
"61","
									Question : Is it permissible for non-Shias to make use of your edicts without becoming Shia Muslims?
								","
									Answer : Our edicts are based on the teachings of the Imams of the Ahlulbait (peace be upon them) through the narrations that reached us in reliable ways, which all Muslims are required to act upon. The Prophet (peace be upon him and his holy progeny) ordered the nation of Islam to refer to the Ahlulbait and follow them in the famous well-known narration that is reported by numerous ways in the books of Shias and Sunnis: ""I leave among you the two weighty things: the Book of Allah and my progeny; as long as you follow both of them, you will never be misguided."" Acting upon this narration, as well as other similar narrations, to follow the AhlulBait is not obligatory on the Shias only, but it is an obligation on all Muslims.
								"
"62","
									Question : If a person commits an act which his marja deems to be prohibited, and on Judgment Day it is discovered that the act was not actually a sin after all, will this person not be punished for it since the act was not prohibited? Or will he get punished because he disobeyed the edict of his marja?
								","
									Answer : The said person is not considered as disobedient, but is liable for proceeding to commit an act that he was informed to be a sin. An example of this is if a person drinks from a glass thinking it to be wine, but it turns out to be water.
								"
"63","
									Question : When I go to study in the Islamic seminary of Najaf, what do I have to study to become a mujtahid?
								","
									Answer : A believer should aim to fulfill the religious responsibilities of upholding the orders of the Sharia; one of them is learning the Islamic laws and teaching them. This could be achieved by learning more about the religion ñ and not necessarily reaching the level of ijtihad ñ by which a believer could serve Islam. One could serve the religion and be a role model amongst his society, family and friends by being obedient to the Islamic laws and by spreading the religious teachings in the areas where he resides. Therefore, ijtihad is not a goal that a student should have from the beginning. Ijtihad is a talent that can be achieved by studying and with the guidance of Almighty Allah. A student of Islamic studies should study hard and make use of his time as much as possible. If he achieves this, then he can thank Almighty Allah for this bounty. If he does not, he can still serve the religion.
								"
"64","
									Question : I came across many authentic traditions of the Imams of the Ahlulbait (peace be upon them) about ghusl, purification and ablution. These traditions are highly descriptive and specific about the main issues in jurisprudence. Is it permissible for me to follow my understanding of these traditions, and follow the rulings of my marja in other issues?
								","
									Answer : You should follow the scholar who has reached the level of ijtihad and fulfills all the other conditions of the marja in all issues. The derivation of the edicts from the religious sources require a great amount of knowledge and experience gained from continuous studying and research over many years. The authenticity of the traditions is only one factor taken into consideration in this process. Only the scholars who have reached the level of ijtihad have the capability to undertake this.
								"
"65","
									Question : Do mujtahids differ in the laws of the prayer? For example one tells us to pray this way and another tells us to pray another way?
								","
									Answer : It is natural to have different derivations, as people differ in their understanding of a single text, whereas the mujtahids deal with numerous texts, plus the fact that as time passes further away from the time of the texts, fallacies and probabilities increase. From this, the mission of a mujtahid becomes harder and his responsibility becomes greater in protecting the religion in a correct way and to the greatest possible extent. The oppressors and the liars throughout the times have made obstacles for us in obtaining the truths from the Imams (peace be upon them) which made the mission of the mujtahids more difficult. Therefore some variations are to be expected, in all areas of jurisprudence.
								"
"66","
									Question : According to another marja synthetic alcohol is tahir and it is allowed to use perfume containing such alcohol; however, Sayyid Al-Hakeem considers all types of alcohol as najis. Both of them are marjas of taqleed, so why are their edicts different?
								","
									Answer : The difference in deriving the laws between religious jurists naturally originates from their difference in understanding the religious texts or considering some of them over the others. His Eminence, Sayyid Al-Hakeem (may Allah prolong his life) sees that alcohol is najis, if it is an intoxicant and naturally liquid. Based on this, the prayer is invalid if the praying personís body or clothes came in contact with it.
								"
"67","
									Question : The edict of my marja is that taking the lottery prize is lawful, and according to another marja taking it is unlawful. If I take this money and on the Day of Judgment it becomes known that the edict of my marja was wrong, how will my action be judged?
								","
									Answer : If the layperson acted upon the edicts of the qualified marja he is following, then Almighty Allah will excuse him if his marja was not correct.
								"
"68","
									Question : If one quotes an edict of a marja for somebody else, and later realizes that he has recalled it incorrectly, is it obligatory upon him to inform the person?
								","
									Answer : It is obligatory to inform the misinformed person if the latter is expected to act upon it.
								"
