"","Question","Answer","bookmark"
"17","
4
Question: What is your opinion about the beer (Maa al-Sha'eir) which is sold on the market normally with a label that reads ""alcohol free"".","Answer: The drink that is made from barley and called ""Fuqa' in Arabic is definitely forbidden and Najis (ritually impure) as an obligatory precaution. This drink is not intoxicant normally but it makes one feel tipsy; that is a state of slight drunkenness caused apparently by low percentage of alcohol in the liquid.
Therefore, if a drink is produced alcohol free in the first place and it is not called ""Fuqa"" (beer), there is no problem, or else, it is forbidden even if alcohol is separated from it.","/english/qa/15621/"
"18","
5
Question: My question is related to selling and consumption of ice-cream containing less than 0.5% ethanol type of alcohol. I purchased an ice-cream business and now I am finding out that some of the ice-cream syrup contains less than 0.5% ethanol type of alcohol. That syrup is then used to make ice-cream.
My question to you is: Can I (a Muslim) sell or eat this ice-cream made from syrup that contains less than 0.5% of ethanol type of alcohol?","Answer: If it is not intoxicating, there is no objection in it; you can buy, sell and eat it.","/english/qa/15566/"
"19","
6
Question: I am running a store and I have non-Muslim customers who want me to sell them alcoholic drinks. Can a Muslim buy and sell intoxicating alcohol to non-Muslims?","Answer: It is not permissible to buy and sell alcohol.","/english/qa/15564/"
"20","
7
Question: Is it permissible to socialize or accept invitations from Muslims that are involved in business like selling alcoholic beverages and pork?","Answer: There is no problem in it.","/english/qa/15613/"
"21","
8
Question: Is it permissible to consume medication that contain alcohol for ones treatment?","Answer: It is permissible to consume if the amount is very minute, e.g. 2%
If the amount of alcohol is more than 2%, then one may dilute the medication with water, so that the amount of alcohol becomes very minute, e.g. 2% or less and then consume it.","/english/qa/15614/"
"22","
9
Question: I enter a restaurant with a group of friends, and we notice on our table, there is a sealed bottle of wine, which we did not order, and will not drink, is it permissible for us to continue sitting on that table and eat our meal?","Answer: There is no problem in it.","/english/qa/26226/"
"23","
10
Question: What is the ruling concerning the alcohol found in some dental products like mouthwash and others?","Answer: It is Tahir (ritually clean), and permissible to use.","/english/qa/15616/"
"24","
1
Question: Is it permissible to wail and cry loudly as well as beat one’s head and face in mourning for Imam Hussein, peace be upon him?","Answer: There is no problem in it .","/english/qa/25191/"
"25","
2
Question: Is it permissible to jog (run at a steady gentle pace) in mourning processions which are taken out into the streets to commemorate the martyrdom of Imam Hussein, peace be upon him?","Answer: There is no problem in it per se .","/english/qa/25192/"
"26","
3
Question: I would like to ask your opinion about taking off the shirts in mourning processions. Is it permissible for men to take off their shirts while beating their chests?","Answer: There is no problem in it.","/english/qa/25193/"
"27","
4
Question: What is the Islamic law on wearing full black during the months of Muharram and Safar? Is it recommended or abominable (makrooh)?","Answer: It is good to wear black and it being abominable (Makrooh) is not proved.","/english/qa/25195/"
"28","
5
Question: Is there any objection to people holding up chandeliers or flags ahead of the mourning processions?","Answer: There is no objection in it.","/english/qa/25196/"
"29","
6
Question: Over the past thirty years, we have been placing candles in our local mosque as a sign of grief and lamentation. Can we give lamps to the mosque instead of burning candles?","Answer: There is no problem in it.","/english/qa/25198/"
"30","
7
Question: What is the philosophy of Azadari (mourning and lamentation) for Imam Husain?","Answer: There is no doubt that the tragedy of Kerbala, when ascribed to the killers, is a criminal and terrible act. However when ascribed to Husain (A) himself, it represents a conscious confrontation and a courageous resistance for a sacred cause. The whole nation had failed to stand up to Yazid. They had succumbed to his will, and deviation and regression towards the pre-Islamic ways were increasing.
Passiveness by Husain (A) in this situation would have meant the end of Islam as we know it. Thus Husain (A) took upon himself the responsibility of the whole nation. The greatest tragedy was that one who stood up for the noblest of causes, the defense of Islam, was cut down in so cruel a manner.
It is for this reason that the sacrifice of Husain (A) is commemorated annually throughout the Muslim world. Our sorrow never abates as we relive the tragedy.
The commemoration of Ashura on the 10th of Muharram every year serves to remind us of the sacrifices of the family of the Prophet (S). It also makes us aware of the people, then and now, who tried to destroy Islam and the family of the Prophet (S) and all that they stood for - as well as those who watched, listened and did nothing.","/english/qa/15603/"
"31","
1
Question: What is your ruling on an autopsy of a deceased Muslim?","Answer: It is not permissible to perform autopsy on the body of a dead Muslim for the sake of education and other purposes. It is only permissible, if the life of another Muslim depends on it—even if it is sometime in the future.","/english/qa/15601/"
"32","
2
Question: In certain cases, some governmental agencies demand that autopsy be performed on the body of the deceased to establish the cause of death. When is it permissible to agree to their demand and when is it not?","Answer: No heir of a deceased Muslim is allowed to give consent for autopsy to be carried out on the body of the deceased for the purpose mentioned above and other similar purposes; and it is necessary for him to prevent the autopsy if possible. Of course, if another important factor at play that of equal or more importance than this basic rule such as securing the life of an innocent individual Muslim, it is permissible .","/english/qa/15602/"
"33","
1
Question: How is puberty confirmed in a male?","Answer: Puberty in males could be confirmed if one of the four signs was present:
1. First: Completion of fifteen lunar calendar years of age (equal to about 14 years and seven months and fifteen days of the solar calendar).
2. Second: Ejaculation through sexual intercourse, or seminal discharge while awake or asleep.
3.Third: The presence of pubic hair, of the rough type.
4. Fourth: The presence of hair on the face and above the lips.  
Note: The presence of under arm and chest hair and the deepening of the voice are not the signs of puberty in Islamic law.
He should begin performing his religious duties when he attains the age of puberty.","/english/qa/15409/"
"34","
2
Question: When is a girl considered adult from the viewpoint of Sharia?","Answer: She is considered adult at the completion of nine lunar years (equal to about eight years and eight months and twenty days of the solar calendar). 
She should begin performing her religious duties when she attains the age of nine lunar years, the age of puberty.","/english/qa/15596/"
"35","
1
Question: What is the general ruling regards to artificial insemination?","Answer: There is no problem in it per se, however, since the process may involve masturbation, and implanting involves touching and seeing the private part, insemination would only be allowed when the parties involved may face difficulty in their life which is not normally bearable.
Also, regards to the matters of inheritance and Mahramiyat the parties involved need to refer to the specific Islamic Law rulings.","/english/qa/15593/"
"36","
2
Question: Due to a number of miscarriages, the doctors have stated due to my condition, I can no longer get pregnant, are we, as husbands and wives, able to use our own fertilised egg and use a ""surrogate mother"", to carry the feotus in their womb?","Answer: If the sperm and egg belong to the husband and wife and the inseminated egg is then implanted in another woman's womb, there is no problem. It is permissible per se. However, since implanting involves touching and seeing the private part, insemination would be allowed only when the parties to the marriage may face difficulty in their life which is not normally bearable. If this is the case, looking and touching would be allowed to the necessary extent.  
However, when it comes to who the child belongs to, the owner of the egg or the owner of the womb, that is a problematic issue. In any case, precaution has to be observed in inheritance. As for mahramiyah, the owner of sperm is the legal father and the owner of the egg is mahram (related) to the child because she is her father's wife and the owner of the womb is mahram to him because she is like his mother.","/english/qa/15591/"
"37","
1
Question: A man lived with a woman whom he intended to marry and also had sex with her without entering into a marriage contract (‘aqd); thereafter he married her in the proper religious way. Is their co-habitation before the ‘aqd considered marriage in the eyes of religious law? Does the subsequent ‘aqd have retroactive effect? What will be the status of the children born before the ‘aqd?","Answer: In [an Islamic] marriage, the spousal relationship is established by the verbal expression of the proposition and the acceptance (Nikah 'aqd). More over no action or deed that reflects the intention of marriage can be a substitute for the spoken words. Consequently, the marriage mentioned in the question is not valid except after the pronouncement of the religious marriage formula that does not have any retroactive effect.
As for the children, they will be considered legitimate if the parents did not know the law [requiring the ‘aqd] because their relationship will be classified as “wat’i bis-shubha”. But if both were aware of the law, their relationship is considered adulterous. Consequently the children will be deemed illegitimate. However, if only one knew about the law without the other, the children will be deemed legitimate in relation to the ignorant parent only.","/english/qa/15584/"
"38","
2
Question: What is the meaning of the expression used by the jurists that “there is no waiting period (‘idda) for an adulterous woman because of her adultery”?","Answer: It means that she is allowed to marry after having committed adultery without observing the ‘idda; and, if she is married, then it is permissible for her husband to have sexual relations with her without observing the ‘idda, she would need to seek repentance and forgiveness.","/english/qa/15585/"
"39","
3
Question: What is meant by the expression “an adulterous woman known for adultery”?","Answer: It means that such a woman is known among the people for committing adultery in which case, it is not permissible to marry her as an obligatory precaution, unless she seeks repentance.","/english/qa/15587/"
"40","
4
Question: If a married woman commits adultery with a man, what would be the ruling about them.","Answer: The married woman becomes permanently forbidden for him (obligatory precaution).","/english/qa/15589/"
"41","
5
Question: If an unmarried lady and a man have had pre-marital sex, are they allowed to enter marriage contract (Nikah) with each other?","Answer: Yes, they are allowed, after their repentance.","/english/qa/15590/"
"42","
1
Question: Can I keep a cat, hamster, and rabbit in my house?","Answer: There is no problem in it,
Note: The body and the salive of the cat, rabbit, and hamster is ritually pure (Tahir), yet its urine, feaces, and blood are Najis","/english/qa/15581/"
"43","
2
Question: If a dog licks my body or clothes, how should I purify it?","Answer: It is sufficient to wash it once. However, if the water is little, it is necessary to rid it of the water by wringing.","/english/qa/15582/"
"44","
3
Question: Is it permissible to keep a dog as a pet in my house?","Answer: It is better not to, and its preferable to choose another animal as a pet, as a dog is ritually impure (Najis) according to Islamic law, and thus it would cause one to live with considerable difficulty. It's also been mentioned that prayers in a place with a dog around is abominable (Makrooh).","/english/qa/15583/"
"45","
4
Question: Does cat hair affect ones prayers?","Answer: If there is a few cat hairs (one to three) on a person's body or cloth, his prayer is in order but if there are more than that, his prayer becomes void, as an obligatory precaution.","/english/qa/25271/"
"46","
1
Question: Is the recitation of Adhan and Iqama for daily prayers and other prayers compulsory (Wajib)?","Answer: Adhan and Iqama for the daily obligatory prayers (i.e Fajr, Dhuhr, Asr, Maghreb and Isha), is recommended (Mustahab), however for the other obligatory and recommended prayers it is not been sanctioned in Islamic Law (they are not Mashru').","/english/qa/26124/"
"47","
2
Question: Is the third testimony a part of Adhan and Iqamah?","Answer: Ash hadu anna Amiral Mu'minina 'Aliyyan Waliyyullah ( I testify that the Commander of the faithful, Imam Ali (AS) is the vicegerent of Allah) is not a part of Adhan and Iqamah, but it is good to say it after reciting Ash hadu anna Muhammadan Rasulul lah with the intention (Niyyat) of Qurbat (seeking nearness to Allah).","/english/qa/15579/"
"48","
3
Question: If any one is praying at home, does he require to call Adhan for each prayer followed by Iqamah?","Answer: It suffices to call Adhan for both prayers if he/she combines between the prayers.","/english/qa/15580/"
"49","
1
Question: What is the Islamic law about buying a car on installments? Many auto companies and authorized car selling agencies sell new and used cars on installments. Thus, when customers go to buy those cars, the companies refer them to certain institutions such as banks and insurance companies. The companies get back the capital as well as the interest in monthly installments stretched over a number of months or years. If someone fails to pay his installments on time, the company overcharges the defaulter.  The interest rate is determined on the basis of certain important factors such as the client's turnover, amount of income or timely-repayment of installments. The amount of interest generally paid is 4%, 3% or 5% or more or less. What is the Islam law with regard to buying a car on monthly installments keeping in view the foregoing details?","Answer:  If the loan providing companies first buy the cars from the agencies and then sell them to customers on installments with some increase (interest) as part of the prices of the cars, the transaction is in order. Indeed, if a penalty is imposed due to a customer failing to make payment on time, it is forbidden (har<U+0101>m). 
And if it means that the companies or agencies themselves sell the cars to customers, and in return the loan providing company gives the price of the cars to their manufacturers or agencies, and receives more money on installments from the customer, it is forbidden.","/english/qa/25232/"
"50","
2
Question: What is your ruling on buying and playing lottery tickets and other such games of chance?","Answer: It is not permissible.","/english/qa/15562/"
"51","
3
Question: What is the fatwa about selling meat of a dead animal to non-Muslims.","Answer: If it has any halal benefit, there is no problem in selling it.","/english/qa/15565/"
"52","
4
Question: I know there is a company which is helping Israel monthly.  What is the fatwa about working in such a company and purchasing its products?","Answer: There is no permission as to dealing with Israeli products and products of companies which are known to be supporting Israel in an effective way. ","/english/qa/15183/"
"53","
5
Question: Can a Muslim buy or sell wine or pork to non-Muslims? What is the fatwa on the income one gets by doing such a job?","Answer: It is not permissible  to sell these things and the income is not halal.","/english/qa/15567/"
"54","
6
Question: Is it permissible to buy a carving or statue of a human being or an animal, male or female, for decoration?","Answer: There is no problem in buying and selling it, however carving and making a statute of a human or animal is not permissible (obligatory precaution).","/english/qa/15568/"
"55","
7
Question: Is it haram or makrooh (reprehensible) to work on Ashura, Tasooa, and the days of the martyrdom of the Ahlulbayt (as)?","Answer: It is befitting for shopkeepers to shut down their shops and close their businesses on the occasion of the martyrdom of the Ahlul-Bayt, peace be upon them.  In fact, if keeping shops open is considered disrespectful to the Ahlul-Bayt, peace be upon them, it is necessary to avoid doing so.","/english/qa/25194/"
"56","
1
Question: Is it permissible to drape a mosque with black cloths?","Answer: There is no problem in it.","/english/qa/15559/"
"57","
2
Question: Are girls and women allowed to wear black coat and scarf all year round, even when it's not the months of Muharram & Safar?
Is it Makrooh?","Answer: There is no problem in it, and it is not abominable (Makrooh )","/english/qa/15501/"
"58","
3
Question: Is it permissible to wear black Ihram?","Answer: It is discouraged to wear Ihram in black cloths; as a matter of precaution, this color must be avoided and it is preferred that the Ihram be of white cloths.","/english/qa/15560/"
"59","
4
Question:  Following the death of a beloved, women wear black as a sign of grief, is this permissible?","Answer: There is no problem in it.","/english/qa/15561/"
"60","
5
Question: Is it Makrooh to wear black on an ordinary day when it is not coinciding with the martyrdom of one the fourteen Infallibles?","Answer: It is not abominable (Makrooh )","/english/qa/25286/"
"61","
1
Question: If transferring a deceased Muslim to Muslim countries entails great difficulty, is it permissible to bury the body in cemeteries of non-Muslims from among the followers of the revealed religions [that is, Ahlul Kit<U+00E3>b]?","Answer: It is not permissible to bury a Muslim in cemeteries of non-Muslims, except if that is only out of absolute necessity.","/english/qa/15439/"
"62","
2
Question: What is preferable: burying a dead Muslim in an Islamic cemetery in a non-Muslim city in which he died or transferring the dead body to a Muslim city which entails exorbitant expenses?","Answer: It is preferable to transfer the dead to any holy shrines or other recommended places if there is a donor who can bear the expenses —from the heirs or others— or if the one-third of his estate which he has endowed for religious charity, would suffice for that purpose. If it involves a lot of hardship and is costly, it is not preferred.","/english/qa/15440/"
"63","
3
Question: What is preferable: burying a dead Muslim in an Islamic cemetery in a non-Muslim city in which he died or transferring the dead body to a Muslim city which entails exorbitant expenses?","Answer: It is preferable to transfer the dead to any holy shrines or other recommended places if there is a donor who can bear the expenses —from the heirs or others— or if the one-third of his estate which he has endowed for religious charity, would suffice for that purpose, and there should not be any prohibited (Haram) act involved in the process, (e.g. removal of the deceases internal organs and blood).","/english/qa/15378/"
"64","
4
Question: The Muslim communities in non-Muslim countries are increasing day by day. Knowing the fact that a deceased Muslim will one day be buried in the graveyard of non-Muslims either because of lack of funds available to the family to send the dead body to Muslim countries for burial or because of negligence; so, is it obligatory, as a matter of W<U+00E3>jib Kif<U+00E3>’i, upon the capable Muslims to buy a graveyard for the Muslims?","Answer: Burying a deceased Muslim in a place appropriate to his status (other than non-Muslim graveyards) is an obligation of the heir just like other obligatory deeds connected with the burial procedures. And if the deceased has no heir or the heir is refusing to fulfill his duty or is not capable, it is obligatory, on the basis of kif<U+00E3>’i, upon other Muslims [to bury the deceased in an appropriate place]. And if fulfilling this w<U+00E3>jib kif<U+00E3>’i duty depends on acquiring a piece of land in advance by purchase or other means, it is obligatory to try and acquire it in advance.","/english/qa/15441/"
"65","
5
Question: From where should the expenses of transportation to a Muslim country and burial come, if it is not possible to bury a Muslim in the city in which he died because there is no Muslim graveyard? Should these expenses come from the estate of the deceased before dividing it amongst the heirs? Or from the one-third [of the estate] if he has specified that? Or from other sources?","Answer: The expenses of burying a dead body in a place appropriate for it comes from the estate [before its distribution among the heirs] if he did not make a will specifying that it be taken from the one-third. Otherwise [if he made a will regarding the one-third], it should come out of it.","/english/qa/15442/"
"66","
6
Question: When there is no heir for a deceased Muslim person in the foreign land, who should take charge of his burial?","Answer: If it is not possible to contact his heir and ask his consent in handling the burial procedures, the requirement of consent is lifted and it becomes obligatory, on basis of wajib kif<U+00E3>’i, on the Muslims to handle the burial.","/english/qa/15443/"
"67","
7
Question: A Muslim died in a non-Muslim city that has no Muslim graveyard; and although it is possible to transfer the body to a Muslim country for burial but the cost of transportation is exorbitant—is this a sufficient [reason] for burying the body in the graveyard of non-Muslims?","Answer: This is not a sufficient [reason]. He must not be buried in a non-Muslim graveyard.","/english/qa/15445/"
"68","
8
Question: In some non-Muslim countries, the corpse is placed in a coffin and then buried in the grave. What is our duty in such a situation?","Answer: There is no problem in placing the corpse in a coffin when burying him in the ground. However, the religious requirements of burial must be fulfilled; and one of those requirements is that the corpse be placed on its right side with the face towards the Qiblah.","/english/qa/15446/"
"69","
1
Question: What is the proper definition of 'backbiting'? Please, give some references from the Quran and Hadith also.","Answer: Backbiting means “speaking ill of a believer in their absence of someone with the purpose of disparaging him, no matter whether the alleged shortcoming was related to his body, lineage, behaviour, deeds, statements, religion, or life, and other defects which are [usually] concealed from the people. Similarly, it does not matter whether the description was done by words or by gesture.”
Almighty All<U+00E3>h condemned backbiting in His noble Book and has described it such that mind and body feel abhorrence towards it. He said, “And some of you should not backbite the others: would anyone of you like to eat the flesh of his dead brother? No, you abhor it.” (49:12)
The Prophet (s.a.w.) said, “Be careful of backbiting because backbiting is worse than adultery, in that a person who commits adultery can repent and ask forgiveness from God, and All<U+00E3>h can forgive him whereas All<U+00E3>h will not forgive the backbiter until the person who was at the receiving end forgives him.”","/english/qa/15555/"
"70","
2
Question: An elderly person has a habit of doing gheebat and it is very difficult for me to stop him and I also do not want to hear but I am forced to. What should I do?","Answer: To listen to someone who is backbiting is not Haram in it self, however the listener must act in accordance to enjoining the good (Amr bil Marouf) and forbidding the evil (Nahy anil Munkar)., and if it is not effective one must show their dissatisfaction from the person performing the backbiting.","/english/qa/15556/"
"71","
3
Question: A friend has gone to propose for a potential spouse, and the family of the girl have asked me for a reference regards to my friend, am I allowed to inform them of his faults?
Answer: In this case it is permissible and not considered Ghibat (backbiting),","
","/english/qa/15557/"
"72","
4
Question: If I do gheebah of a believer is it obligatory for me to tell them about it and ask them to forgive me? Is it true that Allah will not forgive me for doing gheebah of a believer unless that believer forgives me first? What if telling that believer (that I did his gheebah) will make him feel bad and damage my relationship with him, should I still tell him about it? If not, then how can I get forgiveness for that gheebah?","Answer: [In regards to compensating or making amends for backbiting which has been done] If there is no harm [any further aggravation of the situation] and even in the case where seeking forgiveness is considered a way to compensate for the disrepute which may have occurred, as an [obligatory] precaution they should seek forgiveness.","/english/qa/15558/"
"73","
1
Question: Is French-cut beard permissible?","Answer: Based on obligatory precaution it is not permissible for a man to shave his beard. Similarly, it is not permissible for him to just leave the hair on his chin and shave the sides. This too is based on obligatory precaution, in this ruling, you may refer to the next learned Mujtahid.","/english/qa/15282/"
"74","
2
Question: What is the minimum requirement for keeping a beard?","Answer: Shaving the beard is Haram based on obligatory precaution, and this includes the hair that grows on the sides of the face. However, there is no problem in shaving the hair that grows on the cheeks and the necks. The minimum requirement of beard should be as much as the custom norm (Urf) state that ""this person has a beard"", even if is for example trimmed to a beard size 3.","/english/qa/15552/"
"75","
3
Question: Some men shave their beard and leave some hair on the chin alone. Is this sufficient according to Shariah?","Answer: French-cut box beard is not sufficient as an obligatory precaution. In this ruling, you may refer to the next learned Mujtahid.","/english/qa/15549/"
"76","
4
Question: Is it permissible to shave beard, if one is faced with an unavoidable or a difficult situation?","Answer: It is not permissible for a Muslim to to shave his beard (obligatory precaution), unless if he is fears harm to his life by not shaving or if growing the beard would put him in difficulty (for example, if it becomes a cause of ridicule and humiliation that is not normally tolerable by a Muslim).","/english/qa/15550/"
"77","
5
Question: If a person commits har<U+00E3>m by shaving his beard by razor baled on day one, is it permissible for him to do the same on the second, the third, the fourth day and so on?","Answer: It is compulsory to refrain from it as a measure of precaution.","/english/qa/15551/"
"78","
1
Question: What is indemnity for beating a child or a man beating his wife or someone beating someone else leaving a scar on his/her body?","Answer: If a person hits another person on the face and his skin turns red, the blood money (Diyyah) is 1.5 Dinar and if he beats him on the body and his body turns red the blood money (Diyya) is half of it, i.e. 0.75 Dinar. 
If the face turns blue / green, the blood money (Diyyah) is 3 Dinars and on the body, the blood money (Diyyah) is half of it, i.e. 1.5 Dinars. 
If the face turns black, the blood money (Diyyah) is 6 Dinars and it is half of it on the body. i.e. 3 Diners. 
*One Dinar is equal to 3.5 grams of 21K (Karat) gold*  
Anything other than gold would not suffice as an obligatory precaution and it is permissible to compromise on the Diyyah amount.","/english/qa/25303/"
"79","
2
Question: What is the blood money for aborting a child? Who is the blood money given to? Who receives the blood money?","Answer: In case the mother aborts the child, she must give the blood money (Diyyah) to the father or other heirs. And if the father carries out the abortion, the blood money (Diyyah) is obligatory on him and he must give it to the mother. If it is the doctor who carries out the abortion, it is obligatory on him to give the blood money although he may abort the child on the parents’ request, (though they would share in the sin). He must give the blood money except for when the heirs exempt him. 
It would suffice for the blood money of the fetus into which soul has entered to give 525 mithqals of silver. That is when the fetus is male and if it is female, half of that amount should be paid. As a measure of obligatory precaution, the Diyyah of the fetus which dies in the womb is also the same. 
1) If the fetus is lifeless and it is in the form of a fertilized ovum (zygote), 105 mithqals of silver would suffice for the blood money (0-40 days). 
2) In case it is in the form of a leech-like substance, the Diyyah is 210 mithqals (40-80 days). 
3) If it develops into a chewed-like substance, the Diyyah is 315 mithqals (80-120 days). 
4) If the fetus has bones, 420 mithqals of silver would suffice. 
5) If it has developed into a complete human body with grown up limbs and organs, the Diyyah is 525 mithqals of silver. 
If the fetus is soulless, there is no difference between a male fetus and a female one as an obligatory precaution.
6) If the soul has entered the body, then for a male 5250 mithqals, and for a female 2625 mithqals.
Soul enters the body at the fourth month of pregnancy except for when it is proved otherwise through modern equipment's.
*Every mithqal of silver is equivalent to 4.64 g of Silver.*","/english/qa/25304/"
"80","
1
Question: Is it okay to donate blood?","Answer: It is permissible to donate blood.","/english/qa/15543/"
"81","
2
Question: Is transfusion of blood from Non-Muslim to our body permissible?","Answer: There is no Ishkaal (objection) in it.","/english/qa/15544/"
"82","
1
Question: Is the practice of magic permissible, in promoting good acts and removal of evil in some people?","Answer: It is not permissible.","/english/qa/15540/"
