"","Question","Answer"
"25","السؤاللدينا مريض مصاب بسرطان متقدم والأمل من حياته ضئيل وهو موضوع على الاجهزة في العناية المشددة واتانا طفل أو مريض يحتاج إلى الوضع على الاجهزة ويوجد امل كبير بشفائه وكنا ملزمين بوضع احدهما نتيجة عدد الاجهزة القليل وكلفتها الباهظة فماذا نفعل؟","بسمه سبحانه لا يجوز تضحية احدهما على الاخر ما داما حيين إلاّ إذا كان احدهما كافرا والاخر مسلما أو بحكم المسلم فيقدم على الكافر ومن بحكمه , والله العالم. "
"26","السؤالزوجتي حامل وعمر الجنين (4) أشهر. الجنين فيه الكثير من التشوهات. تشوه في الدماغ والقلب و النخاع العظمي و القدمين. الطبيب يعتقد أن الجنين سوف يموت قبل الولادة. و زوجتي موجودة في الولايات المتحدة حيث يقومون بفحص التشوه وهي لا تحس بتحرك الجنين داخلها. هل يجوز الإجهاض في هذه الحالة؟","بسمه سبحانه يحرم الإجهاض في مفروض السؤال والله قادر على حماية الطفل من المرض المشار إليه. والله العالم"
"27","السؤالأحد الأخوة حملت منه امرأة نصرانية. فأخبرته هي بفكرة الإجهاض فشجعها على الفكرة جهلاً منه بالحكم لصغر سنه، أحضر لها دواء في المرة الأولى ولم تنجح العملية، أما بعد ذلك فالمرأة بنفسها سافرت واشترت دواء و أجهضت خلال الثلاثة أشهر أو الشهرين الأولى من الحمل .... 1- هل يعتبر الرجل مباشراً بالإجهاض في هذه الحالة؟ وهل يعتبر قاتلاً بصريح العبارة أم لا؟ 2- هل من الممكن أن يخلد هذا الرجل في النار بسبب هذا الذنب رغم توبته وندمه؟ 3- ألا يعتبر ما قام به من أنواع المشاركة بالجريمة وقد لا يسقط الجنين حقه يوم القيامة عنه؟ 4- هل تنطبق على الرجل الآية الكريمة (وَمَن يَقْتُلْ مُؤْمِناً مُّتَعَمِّداً فَجَزَآؤُهُ جَهَنَّمُ خَالِداً فِيهَا وَغَضِبَ اللّهُ عَلَيْهِ وَلَعَنَهُ وَأَعَدَّ لَهُ عَذَاباً عَظِيماً)؟ 5- هل الاستغفار والتوبة يضمنان خروجه من الذنب المذكور كمن لا ذنب له، وكيف يرضي الجنين الميت ويؤدي له حقه قبل قيام الساعة؟ 6- يرغب هذا الرجل بالزواج التقليدي عن طريق الأهل لا توجد فتاة معينة، وقد تعدى الثلاثين، ولكن ضميره يقول كيف تسمح لنفسك بأن تتزوج بفتاة طاهرة وسبق لك الوقوع في الفاحشة وجرم الإجهاض. فكأنما سيغش الفتاة، فما تنصحونه؟ الرجل يئن من الذنب وخائف من سخط الله (عز وجل) فأرجو النصح من سماحتكم؟","ج1/ بسمه سبحانه القاتل المرأة والتي باشرت باستخدام الدواء بنفسها. والله العالم
ج2/ بسمه سبحانه إذا لم يكن هو المباشر كما هو مفروض السؤال فلا يتحمل مسؤولية القتل. والله العالم
ج3/ بسمه سبحانه عرف "
"28","السؤالهل تثبت الكفارة في موارد جواز الإجهاض؟","بسمه سبحانه نعم تثبت. والله العالم "
"29","السؤالما هي كفارة الإجهاض؟","بسمه سبحانه كفارة قتل العمد إن كان بعد ولوج الروح. والله العالم"
"30","السؤاللمن تثبت الدية؟","بسمه سبحانه الدية إن كان المجهض غير الأبوين فالدية لهما وإن كان المجهض أحدهما فالدية للآخر. وإن اشتركا في الإجهاض فالدية لورثة الجنين غير الأبوين. والله العالم"
"31","السؤالهل تجب الدية في موارد جواز الإجهاض؟","بسمه سبحانه نعم تجب. والله العالم"
"32","السؤالهل قيام الطبيبة بإجهاض الحامل استجابة لطلبها يوجب انتفاء المسؤولية عنها وثبوت الدية على الحامل؟","بسمه سبحانه لا تسقط المسؤولية لا عن الطبية ولا عن الحامل، وكلتاهما مجرمتان. والله العالم"
"33","السؤالما هي دية الجنين؟","بسمه سبحانه تختلف حسب عمر الحمل ومدته. والله العالم"
"34","السؤالهل يثبت القصاص على من تعمد إسقاط الجنين بعد ولوج الروح فيه؟","بسمه سبحانه يسقط القصاص ولا تسقط الدية. والله العالم"
"35","السؤالإذا كان الجنين متكوناً من ماء زنى (أعاذنا الله وإياكم) فهل يجوز إسقاطه خوفاً من القتل بالنسبة للمرأة؟","بسمه سبحانه لا يجوز الإجهاض. والله العالم"
"36","السؤالشبهة أن الولد لا يصدق شرعاً على الجنين ما لم يخرج من بطن أمه فالآيات الدالة على حرمة قتل الولد لا تدل على حرمة إجهاض الجنين وإن ولجت فيه الروح؟","بسمه سبحانه الآيات والأدلة التي أشرت إليها ليست هي الوحيدة لإثبات حرمة الإجهاض. والله العالم"
"37","السؤالما حكم الإجهاض بعد ولوج الروح في الجنين؟","بسمه سبحانه علم "
"38","السؤالإذا تأكدت المرأة أن جنينها مشوه بدرجة كبيرة فهل يجوز لها الإجهاض؟","بسمه سبحانه لا يجوز. والله العالم"
"39","السؤالعلى نفس الفرض السابق، ولكن يسبب الحمل أضراراً أشد وأقوى كما هو الحال بالنسبة لمرضى القلب والسكري؟","بسمه سبحانه إن كان بقاء الجنين موجباً لهلاك الأم (100%) بحكم الأطباء فيجوز حينئذ و دفع الدية على المجهض وتحدد حسب مدة الحمل. والله العالم"
"40","السؤالإذا كان بقاء الجنين مضراً على الأم كازدياد حالة القي والصداع والميل إلى الغشي فهل يجوز الإجهاض بسبب حدوث هذه الأعراض؟","بسمه سبحانه الأعراض المذكورة لا تبيح الإجهاض. والله العالم"
"41","السؤالإذا شكّت المرأة في حدوث الحمل من جهة التأخر في نزول الدم أيام عادتها الشهرية أو من جهة علامة أخرى فهل يجوز لها استعمال الأدوية المجهضة؟","بسمه سبحانه لا يجوز استعمال الأدوية المجهضة إذا علمت بوجود الحمل والاحتياط المستحب أن تترك حتى مع الشك. والله العالم"
"42","السؤالما حكم الإجهاض قبل نفخ الروح في الجنين؟","بسمه سبحانه لا يجوز. والله العالم"
"43","السؤال1 - هل يجوز إسقاط جنين عمره شهران من قبل الزوجة إذا كان بقاؤه قد يسبب لها حرجاً لأنها على وشك الطلاق من زوجها؟ 2 - إذا أسقطت الجنين، كم هو مقدار الدية الشرعية الواجب عليها دفعها ولمن تدفعها؟","بسمه سبحانه الإجهاض ذنب ومعصية وقتل للمؤمن إذا كان أحد أبوي الجنين أوكلاهما مسلمين ويحرم الإجهاض في أي مرحلة من مراحل الحمل وأقصد من الحمل بعد لحظة من بدء تلقيح البويضة وما ذكرت في السؤال لا يسوغ الإجهاض.
وأما مقدار الدية فيتحدد في ضوء تحديد مدة الحمل فهي عشرون ديناراً لكل أربعين يوماً من الحمل والمقصود دينار الذهب وهو يساوي المثقال الشرعي وهو ثلاثة أرباع المثقال الصيرفي من الذهب. وإذا كان الحمل ثمانين يوماً فالدية أربعون ديناراً إلى تمام أربعة أشهر فتكون الدية كاملة للذكر ونصفها للأنثى وبين كل مرحلة بالنسبة. والله العالم  "
"44","السؤالإمرأة حملت بجنين مشوّه و مات ، ثمّ حملت مرّة أخرى و هو الآن بعُمرِ أربعة أشهر و هو مشوّه أيضاً بحسبِ قولِ الأطبّاء ؛ مِمّا سبّب لها صدمةً نفسيّة ، فهل يجوز لها أن تُسقِطَ هذا الجنين و هو بهذا العُمر؟ ","بسمه سبحانه يحرم الإجهاض في مفروض السؤال و الله قادر على حماية الطفل من المرض المشار إليه . و الله العالم"
"45","السؤالهناك علاج للعقم عن طريق الأنابيب، وهو أخذ البيضة أو الحويمن من غير الزوجين وتخصيبها عن طريق الأنابيب، فهل يجوز ذلك؟","بسمه سبحانه إذا كان الحيمن من الزوج والبويضة من الزوجة بحيث تلقح خارجياً ثم توضع في رحم الزوجة أو امرأة أجنبية وكلا الحالتين جائزتان شرعاً وعندها تكون الزوجة (صاحبة البويضة) أماً للولد والزوج (صاحب الحيمن) أباً للولد ويجري التوارث بينهما وصاحبة الرحم (المرأة الأجنبية) حاضنة فقط ولا حق لها بالمطالبة بأجرة الحضانة إلا مع الاتفاق المسبق ولا تكون أماً للطفل بشرط أن يكون إخراج الحيمن من الزوج بصورة شرعية من خلال الزوجة وأن لا يلزم محذور شرعي آخر مثل كشف العورة من قبل المرأة (الزوجة أو الحاضنة) للطبيب مع وجود امرأة تقوم بالعمل نعم يجوز مع الاضطرار للطبيب إذا كان ضمن العلاج. ويحرم تلقيح امرأة بحيمن غير زوجها وإن حصل فالولد المتكون من هذا التلقيح ينسب إلى صاحبة البويضة وصاحب الحيمن ولا تجري على العملية أحكام الزنى. والله العالم"
"46","السؤالإحدى النساء لا تـنجب وتريد مراجعة أحد الأطباء, هذا الطبيب يحتاج إلى فحص المرأة لا باللمس ولا بالنظر المباشر إلى أعضاء جسمها ولكن يحتاج إلى النظر إلى رحمها وإلى حركة ونشاط المبيض عن طريق شاشة تلفزيونية, فهل يجوز ذلك؟","بسمه سبحانه يجوز ذلك ما دام للعلاج. والله العالم"
"47","السؤالحول زرع المبيض الاصطناعي
1 - حدث مؤخراً تطور علم يفي مجال استحداث مبيض أنثوي اصطناعي يمكن عبره إيجاد بويضات، في حال أوجدنا بويضات من المبيض الاصطناعي فلمن ينتسب المولود؟ وهل هناك أي فرق بين الولادة من مبيض طبيعي وآخر اصطناعي؟ حيث إن الأم - كما يقول جملة من الفقهاء - هي صاحبة البويضة، وليست الأم الحاضنة، فإن المورد هنا يكون بأن المبيض اصطناعي، والبويضة تصنع ضمن المبيض الاصطناعي وهذا المبيض تموضعه في أحشاء المرأة، لذا نشأ سؤال حول من هي أم المولود من مبيض اصطناعي؟
2 - هل إن تصنيع المبيض من ناحية أولية جائز؟
3 - هل يجوز للمرأة التي لديها مبيض تالف (غير منتج) أن تعمد لتبديله بآخر اصطناعي؟
4 - إذا كان لامرأة عدد من الأولاد، وأرادت الإنجاب، فهل يجوز لها أن تعمد للمبيض الاصطناعي الذي قد يستوجب نظراً ولمساً محرمين؟
5 - يتفرع مما مرّ سؤال بالنسبة للإرث، فهل يتوارث المولود من مبيض اصطناعي مع المرأة التي حملت به؟
6 - إذا زرعت امرأة مبيضاً اصطناعياً، و أراد شخص الزواج منها، فهل يجب عليها إعلامه بذلك؟ وإذا لم تعلمه فهل يعتبر ذلك غشاً وتدليساً؟
7 - إذا تزوج رجل امرأة وتبين أن مبيضها اصطناعي، ولم تكن قد أعلمته بذلك، فهل يحق له الفسخ؟ وإذا أراد الطلاق فهل يتأثر المهر بذلك، فتأخذ مهراً أقل مقارنة مع مثيلاتها؟
8 - امرأة متزوجة ومبيضها غير عامل، فإذا أرادت أن تزرع مبيضاً اصطناعياً فهل يشترط إذن الزوج بذلك؟
9 - بحال أتلف شخص ما مبيض امرأة (سواء كان ذكراً أم أنثى) و أرادت الاقتصاص ممن أتلف، فبعدما وصلنا لإمكانية تصنيع مبيض، فهل يجوز حينها إعطاء المرأة مبيضاً اصطناعياً مكان مبيضها المتلف؟
10 - وفي مورد الحديث عن استبدال مبيض تالف بآخر اصطناعي، فهل يجب دفن المبيض المستأصل أم ماذا؟
","ج1/ بسمه سبحانه كلامك يا بني مجمل كيف ما كان ينبغي أن يعرف أن المبيض الصناعي إن كان كالماكنة الصناعية يخلق البويضة من دون أن يكون للمرأة التي جعل المبيض في أحشائها أي عمل في صنع البويضة ففي هذه الحالة الطفل المتكون من هذه البويضة لا يكون ابناً للمرأة التي لا تأثير لها حسب طبعها في المبيض ولا في البويضة فإن كانت النطفة التي لقحت بها البويضة صناعية أيضاً لم تؤخذ من رجل طبيعي فهذا المولود متكون من بويضة صناعية وحويمن صناعي لا ينسب لأي أب ولا لأي أم وإن كانت النطفة (حويمن) من إنسان طبيعي وبويضة غير طبيعية فصاحب الحويمن أب للطفل ولا يكون له أم كما إن الأمر يفرض بالعكس بأن تكون البويضة طبيعية من امرأة طبيعية وحويمن صناعياً صرفاً يكون الطفل له أم ولا يكون له أب.
وإن كان المبيض صناعياً ولكن البويضة خلقت من تأثير القوة المؤثرة في جسم المرأة فيكون المبيض  صناعياً والبويضة طبيعية فالطفل المتكون من هذه البويضة الطبيعية يعتبر ابناً لصاحبة البويضة. والله العالم
ج2/ بسمه سبحانه نعم يجوز إذا لم يكن فيه محذور شرعي آخر. والله العالم
ج3/ بسمه سبحانه نعم يجوز ذلك ما لم يكن محذور شرعي آخر. والله العالم
ج4/ بسمه سبحانه إذا كان مبيضها تالفاً فيدخل هذا في العلاج فيجوز. والله العالم
ج5/ بسمه سبحانه نعم يرث الوالدين ويرثانه. والله العالم
ج6/ بسمه سبحانه الأفضل أن تخبره نعم إن كان الزوج يتأثر بالموافقة وغيرها فيجب عليها الإخبار وإلا فلا. والله العالم
ج7/ بسمه سبحانه لا يجوز له الفسخ  والطلاق بيده في كل الأحوال. والله العالم
ج8/ بسمه سبحانه إذا كان بعنوان العلاج فلا يشترط. والله العالم
ج9/ بسمه سبحانه وضع المبيض الصناعي ليس عوضاً عن الجناية وأما الجناية فتجري فيها أحكام مستقلة. والله العالم
ج10/ بسمه سبحانه لا يجب ذلك. والله العالم
"
