"","Question","Answer","bookmark"
"11","
4
السؤال: شخص كان يُدخِل الإقامةَ في الصلاة ويأتي بها بعد تكبيرة الإحرام فما حكم صلواته السابقة؟","الجواب: إذا كان جاهلاً قاصراً معذوراً في جهله فصلواته صحيحة.","/arabic/qa/2181/"
"12","
5
السؤال: ما حكم المؤذِّن إذا سها في أذانه، ونسي أن يقول: (أشهد أن لا إله إلا الله) في بداية الأذان؟","الجواب: لا شيء عليه مع السهو.","/arabic/qa/2182/"
"13","
6
السؤال: هل يجوز أن نصلّي قبل أن ينتهي المؤذِّن من الأذان؟","الجواب: يجوز مع الوثوق بدخول الوقت.","/arabic/qa/3938/"
"14","
7
السؤال: يُتَعارف لدى بعض المجتمعات الأذان عند حصول الكسوف أو الخسوف مراراً بقصد الإعلام، فهل هذا مُشروع أم لا؟","الجواب: لم يرد دليل على مشروعيّته.","/arabic/qa/5166/"
"15","
8
السؤال: دخلت في مجموعة أذّنوا لصلاة الجماعة وأقاموا لها، لكنّي لم أسمع الأذان ولا الإقامة ولم تنعقد الصلاة بعدُ ولكن كانت على شرف الانعقاد، فهل يستحب لي الاتيان بالأذان والإقامة ثم الالتحاق بالجماعة؟","الجواب: يسقط الأذان والإقامة جميعاً في مفروض السؤال.","/arabic/qa/26136/"
"16","
9
السؤال: هناك من يدّعي أنّ سماحة السيد (حفظه الله) يرى سقوط الأذان ما بين الفريضتين إذا جُمِع بينهما وإن أُقيمت النافلة، فهل هذا المدّعى صحيح؟","الجواب: إذا كان فعل النافلة يستغرق وقتاً معتداً به - كما هو المتعارف بين صلاتي المغرب والعشاء - فلا بأس بالأذان للثانية.","/arabic/qa/26134/"
"17","
10
السؤال: سمعت شخصاً يؤذِّن ويقيم للصلاة فهل يجزي ذلك عن إتياني بالأذان والإقامة أم يستحب لي الاتيان بهما أيضاً؟","الجواب: إذا سمع المكلّف شخصاً آخر يؤذّن ويقيم للصلاة، يسقط الأذان والإقامة عنه، بشرط أن لا يقع بين صلاته وبين ما سمعه فصل كثير، وأن يسمع تمام الفصول، ومع فرض النقصان يجوز له أن يتمّ ما نقصه القائل، ولا فرق فيما ذُكر  بين أن يكون الآتي بهما إماماً أو مأموماً أو منفرداً.","/arabic/qa/26138/"
"18","
1
السؤال: ما حكم إجراء عملية جراحية لغلق القناة التناسلية للمرأة بغرض تحديد النسل علماً ان الزوجين عندهما ما يكفي من الاولاد ؟","الجواب: يجوز للمراة ان تجري عملية جراحية لغلق القناة التناسلية (النفير) وان كان يؤدي الى قطع نسلها بحيث لاتحمل ابدا ولكن اذا توقف ذلك على كشف ما يحرم كشفه من بدنها للنظر اليه او للمسه من غير حائل لم يجز لها الكشف الا في حال الضرورة ولا يجوز للمراة ان تجري عملية جراحية لقطع الرحم او نزع المبيضين ونحو ذلك مما يؤدي الى قطع نسلها وكان يستلزم ضرراً بليغاً بها إلاّ اذا اقتضته ضرورة مرضية ونظير هذا الكلام كله يجري في الرجل ايضاً.","/arabic/qa/1908/"
"19","
2
السؤال: هل يجوز استعمال اقراص منع الحمل من دون رضا الزوج؟","الجواب: يجوز بشرط ان لا يحلق بها ضررا بليغاً وان لم يرض الزوج بذلك.","/arabic/qa/1909/"
"20","
3
السؤال: هل يجوز للمرأة ان تضع اللولب المانع من الحمل؟","الجواب: يجوز ولكن اذا توقف وضعه في الرحم على ان يباشر ذلك غير الزوج كالطبيبة وتنظر او تلمس من دون حائل ما يحرم كشفه لها اختياراً كالعورة لزم الاقتصار في ذلك على مورد الضرورة كما اذا كان الحمل مضراً بها او موجبا لوقوعها في حرج شديد لا يتحمل عادة ولم يكن يتيسر لها المنع منه ببعض طرقه الاخرى او كانت ضرريه او حرجيه عليها كذلك، هذا اذا لم يثبت لها أن استعمال اللولب يستتبع تلف البويضة بعد تخصيبها والا فالاحوط.","/arabic/qa/26298/"
"21","
1
السؤال: هل يجوز الاستنساخ الحيواني والنباتي؟","الجواب: يجوز في حد ذاته، واذا صدر النهي عنه ممن له الولاية الشرعية ـ رعاية لبعض المصالح العامة ـ يلزم اتباع نهيه وهكذا بالنسبة الي الاستنساخ البشري.","/arabic/qa/3814/"
"22","
2
السؤال: ما رأي سماحتكم (ادامكم الله) في الاستنساخ البشري هل يجوز أم لا؟","الجواب: ان التسبب في تكوّن انسان من بويضة امرأة بعد نزع نواتها ثم تطعيمها بخلية غير جنسية ثم اعادة زرعها في الرحم وان لم يكن حراما في حد ذاته، إلا أنه بالنظر إلى المخاطر المحتملة لمثل هذه العمليات يمكن لمن له الولاية الشرعية النهي عن إجرائها فلا تجوز عندئذ والله العالم.","/arabic/qa/11098/"
"23","
1
السؤال: هل يجوز التبرع بالعضو الحي للحي كما في الكلية. ومن الميت للحي بالوصية، سواء من المسلم للكافر، أم العكس؟ وهل تختلف الأعضاء في هذه المسألة عن بعضها البعض؟","الجواب: أما تبرع الحي ببعض أجزاء جسمه لإلحاقه ببدن غيره فلا بأس به،إذا لم يكن يلحق به ضرراً بليغاً، كما في التبرع بالكلية لمن لديه كلية أخرى سليمة.
وأما قطع عضو من الميت بوصية منه لإلحاقه ببدن الحي فلا بأس به إذا لم يكن الميت مسلماً أو من بحكمه أو كان مما يتوقف عليه إنقاذ حياة مسلم، وأما في غير هاتين الصورتين، ففي نفوذ الوصية وجواز القطع إشكال. ولكن لا تثبت الديّة على المباشر للقطع مع الوصية على كل تقدير.","/arabic/qa/6006/"
"24","
2
السؤال: ما حكم التبرع بنصف الكبد للأخ مع معرفة بعض المضاعفات للمتبرع نفسه ؟
الجواب: لايجوز اذا كان فيه ضرر بليغ على متبرع او خطر على حياته والا فلا مانع.","
","/arabic/qa/9182/"
"25","
3
السؤال: وظيفتي في المستشفي التنسيق بين من يود التبرع ببعض أعضائه حياً أو ميتاً وبين المحتاجين لذلك وهناك صور يجوز فيها التبرع كما ذكرتم في المسائل المستحدثة وهناك صور لا يجوز وعملي يشمل الجميع ومنها أن يكون التنسيق مع أهل الميت سريرياً مع بقاء قلبه بالنبض علي أخذ بعض الأعضاء منه إما لأجل إنقاذ حياة مسلم أو إنقاذ عضو من الأعضاء، فهل عملي محلل؟","الجواب: ولكن الميت دماغياً مع استمرار رئتيه وقلبه في وظائفهما وان كان ذلك على تركيب اجهزة الانعاش الصناعية لا يعد ميتاً ويحرم قطع عضو مية لالحاقه ببدن الحي مطلقا.","/arabic/qa/11575/"
"26","
4
السؤال: في سويسرا منظمة للتبرع بأعضاء البدن عن الميت يعني اسجل اسمي في المنظمة وأعلمهم عن الشيء الذي اتبرع به ؟","الجواب: في نفوذ الوصية بقطع اعضاء المسلم بعد موته لالحاقه ببدن الحي من غير ان تتوقف حياة الحي علي ذلك إشكال.","/arabic/qa/21476/"
"27","
5
السؤال: 1 ـ هل استطيع ان اتبرع باعضائي في حال موتي سريريا الي اشخاص يحتاجون اليها؟
2 ـ هل استطيع ان اتبرع باحد اعضائي او جزء منه بارادتي الشخصية ودون مقابل الي احد الاشخاص المحتاجين اليها؟
الجواب: 1 ـ الميت دماغياً مع استمرار رئتيه وقلبه في وظائفهما وإن كان ذلك عن طريق تركيب أجهزة الإنعاش الصناعية لا يعدّ ميتاً، ويحرم قطع عضو منه لإلحاقه ببدن الحيّ مطلقاً.
2- لا يجوز ان كان قطعه يلحق بك ضرراً بليغاً كما في قطع العين وقطع اليد ويجوز فيما اذا لم يكن كذلك كما في قطع قطعة من الجلد أو جزء من النخاع او احدى الكليتين لمن لديه كلية اخرى سليمة ويجوز اخذ المال بازاء الجزء المقطوع.","
","/arabic/qa/23213/"
"28","
1
السؤال:  انا مصاب بمرض تضخم البروستات الحميد واستخدم الأدوية لعلاج المرض وكذلك نصحني الطبيب بزيادة عدد مرات المعاشرة الزوجية لتخفيف الآلام والاحتقان. في الوقت الحالي زوجتي سافرت لزيارة أهلها لمدة شهرين وانا أعاني من هذه الحالة المرضية. فهل يجوز الاستمناء لغرض تخفيف الآلام والاحتقان وكثرة التبول الذي اعاني منهما ويـؤثران على عملي اليومي بارك الله فيكم وسدد خطاكم وحفظكم لنا وللامة جمعاء","الجواب: الاستمناء بفعل ما يثير الشهوة الجنسية مع غير الزوجة حرام، ولا ترتفع حرمته إلاّ في حال الاضطرار، وما ذُكِرَ لا يمثّل حالة الاضطرار ــ فيما يبدو ــ فإنّ هناك ـــ كما يُقال ـــ طرقاً أخرى لإخراج المني من دون إثارة الشهوة الجنسية كالضغط على غدّة البروستات ودلكها لغرض إغلاق القسم العلوي من الإحليل حتّى يخرج المني، وكاستعمال بعض العقارات التي تؤدّي إلى تقلّص الألياف العضلية للبروستات وانقباضها بشدّة بحيث يتسبب في إغلاق مجرى البول وبقاء طريق المني مفتوحاً إلى أن يخرج.
ويمكن أيضاً معالجة الأعراض المذكورة من الآلام والاحتقان وكثرة التبول باستعمال بعض الأدوية.
والحاصل أنّه لا يبدو انحصار تفادي الأضرار المذكورة في ممارسة الاستمناء المحرم. هذا إذا كانت تلك الاضرار بحدٍّ يُعتدّ بها وإلاّ فلا يجوز في كلّ الأحوال.","/arabic/qa/25239/"
"29","
2
السؤال: ماهي كفارة العادة السرية؟","الجواب: لاكفارة فيها سوى التوبة النصوح.","/arabic/qa/1956/"
"30","
3
السؤال: هل يجوز استمناء الرجل بيد زوجته؟","الجواب: نعم.","/arabic/qa/1958/"
"31","
4
السؤال: هل عرق الجنب من الاستمناء طاهر؟","الجواب: طاهر وتجوز الصلاة فيه.","/arabic/qa/1959/"
"32","
5
السؤال: ما حكم من يستمني في نهار شهر رمضان وما هي كفارته ؟","الجواب: اذا كان يعلم بالمفطرية او كان متردداً في مفطريته فصومه باطل واذا كان عالماً بل وجاهلاً مقصراً على الاحوط لزوماً تجب الكفارة مع القضاء ويكفيه في الكفارة ان يتصدق على ستين مسكيناً كل واحد 750 غراماً حنطة او خبزا واما اذا كان واثقاً بعدم المفطرية عن جهل قصوري او كان واثقاً من نفسه بعدم الانجرار الى الامناء ولكن اتفق ذلك من دون قصد مسبق فصومه صحيح.","/arabic/qa/1960/"
"33","
6
السؤال: ما جزاء من يمارس العادة السرية؟","الجواب: فعل حراماً ويستحق التعزير ويجب ان يتوب ويستغفر الله مع العزم علي عدم العود.","/arabic/qa/1961/"
"34","
7
السؤال: لو ثبت ان المراة لاتمني فهل يجوز لها عمل العادة السرية؟","الجواب: ليس للمراة مني كمني الرجل المشتمل علي الحويمنات ولكن ثبت بموجب النصوص الواردة عن ائمة الهدي (عليهم السلام) ان السائل الذي يخرج منها عند بلوغ الذروة في التهيج الجنسي بحكم المني في الرجل فيوجب نزوله منها الجنابة وكذا على الاحوط ما يخرج منها قبل ذلك اذا كان كثيراً, والعادة السرية كما هي محرمة في حق الرجل فكذلك محرمة في حق المراة.","/arabic/qa/4894/"
"35","
8
السؤال: ما حكم العادة السرية ولكن من غير خروج المني اي مجرد استرخاء الجسم وهل يجب الغسل؟","الجواب: لا يجوز على الأحوط وجوباً ولا يجب الغسل.","/arabic/qa/7536/"
"36","
9
السؤال: اذا اراد الشخص ان يختبر مدى قدرته على الانجاب، فطلب منه الطبيب ان يخرج السائل المنوي ليفحصه، فهل يجوز له الاستمناء؟","الجواب: ما دام غير مضطر لذلك فلا يجوز له الاستمناء .","/arabic/qa/21226/"
"37","
10
السؤال: ممارسة العادة السرية حرام. هل ان الرجل والمرأة في ذلك سواء؟","الجواب: نعم فكما لا يجوز للرجل ان يداعب عضوه التناسلي حتى يقذف فكذلك لا يجوز للمرأة ان تداعب عضوها التناسلي حتى تنزل.","/arabic/qa/21227/"
"38","
1
السؤال: ما هي الطريقة الصحيحة للاستبراء من البول؟","الجواب: المسح بالاصبع من مخرج الغائط الي اصل القضيب ثلاث مرات ثم مسح القضيب باصبعين احدهمامن فوقه والاخرمن تحته الي الحشفة ثلاث مرات ثم عصر الحشفة ثلاث مرات.","/arabic/qa/1963/"
"39","
2
السؤال: هل يجب علي ان اغتسل كلما تبولت؟","الجواب: لا يجب فاذا استبرءت بعد الجماع بالتبول واغتسلت فكل ما يخرج بعده فهو طاهر.","/arabic/qa/1964/"
"40","
3
السؤال: هل يكفي الإستبراء بالتبول قليلاً بعد الإحتلام ؟","الجواب: نعم يكفي.","/arabic/qa/1965/"
"41","
4
السؤال: هل نقدم الاستنجاء على الاستبراء ام العكس؟ واذا قدمنا الاستنجاء فهل نحتاج الى تجديده بعد الاستبراء؟ وبالنسبة كيفية الاستبراء هل يشمل مخرج الغائط أم أبعد؟","الجواب: يقدّم الاستبراء ولكن إن قدّم الاستنجاء ثم إستبرأ ولم يخرج معها شيء فلا احتياج إلى إعادة الاستنجاء والاستبراء يبدأ بمسح الاصبع من مخرج الغائط الي اصل القضيب ثلاثاً ثم مسح القضيب الي الحشفة كذلك ثم عصر الحشفة ثلاثاً.","/arabic/qa/1967/"
"42","
5
السؤال: حينما أتبّول تبقى بعض قطرات البول تنزل بعد حدود الساعة أو أكثر فما حكم الصلاة في مثل هذه الحالة؟","الجواب: اذا استبرأت بعد التبول فالبلل المشتبه الخارج بعد ذلك طاهر ولا يجب الفحص وكذا مايخرج بعد مدة طويلة يطمأن خلالها بعدم بقاء شيء في المجري.","/arabic/qa/1968/"
"43","
6
السؤال: ماهو حكم من شك في الاستبراء ؟","الجواب: إذا شك في الاستبراء أو الاستنجاء بنى على عدمه ، وإن كان من عادته فعله . وإذا شك من لم يستبرئ في خروج رطوبة بنى على عدمها ، وإن كان ظاناً بالخروج .","/arabic/qa/6608/"
"44","
7
السؤال: هل للنساء استبراء ؟","الجواب: لا استبراء للنساء ، والبلل المشتبه الخارج منهن طاهر لا يجب له الوضوء ، نعم الأولى للمرأة أن تصبر قليلاً وتتنحنح وتعصر فرجها عرضاً ثم تغسله.","/arabic/qa/6609/"
"45","
8
السؤال: هل الحشفة تلحق بمخرج البول في كيفية التطهير؟
الجواب: نعم.","
","/arabic/qa/7786/"
"46","
9
السؤال: ما هو تعريف (الحبائل) في روايات الاستبراء؟","الجواب: الحبائل هو المذي والوذي.","/arabic/qa/9236/"
"47","
10
السؤال: لو لم استبرئ من البول ورايت بللاً بعد ذلك فهل احكم بنجاسته ام بطهارته ؟","الجواب: اذا احتمل ان يكون البلل بولا او معه بول فهو نجس وتبطل الصلاة به ولكن لا يجب ان تفحص نفسك حتى لو شعرت بخروج شيء ما لم تعلم به.","/arabic/qa/10430/"
"48","
1
السؤال: هل مجرد الاستنجاء بالعظم والروث مثلاَ يوجب العصيان فقط أم هناك اشكال في الطهارة؟","الجواب: يحرم تكليفاً بما هومحترم في الشريعة الاسلامية وتحصل الطهارة به .","/arabic/qa/1970/"
"49","
2
السؤال: هل يجب الاستنجاء وماهي كيفيته ؟","الجواب: لا يجب الاستنجاء ـ أي تطهير مخرج البول والغائط ـ في نفسه ، ولكنه يجب لما يعتبر فيه طهارة البدن . ويعتبر في الاستنجاء غسل مخرج البول بالماء ولا يجزي غيره ، والأظهر كفاية المرة الواحدة مطلقا وإن كان الأحوط في الماء القليل أن يغسل به مرتين والثلاث أفضل ، وأما موضع الغائط فإن تعدى المخرج تعين غسله بالماء كغيره من المتنجسات ، وإن لم يتعد المخرج تخير بين غسله بالماء حتى ينقى ، ومسحه بالأحجار ، أو الخرق ، أو نحوهما من الأجسام القالعة للنجاسة . والماء أفضل ، والجمع أكمل .","/arabic/qa/9010/"
"50","
3
السؤال: ما هو المعتبر في المسح بالاستنجاء ؟","الجواب: الأحوط ـ الأولى ـ اعتبار المسح بثلاثة أحجار أو نحوها ، وأن حصل النقاء بالأقل .","/arabic/qa/9011/"
"51","
4
السؤال: من شروط طهارة ماء الإستنجاء عدم تغير لونه ورائحته وطعمه ،ولكن أثناء إستعمال اليد في الإستنجاء من البول والغائط تبقي رائحة في اليد من جراء غسل موضع الغائط فهل يعتبر الماء الذي علي اليد نجس ويجب تطهير اليد ؟","الجواب: العبرة برائحة الماء لا اليد فاذا كان الماء تغير لونه او رائحته بالنجاسة لم يعف عنه واما اليد فهي تطهر بتبع طهارة الموضع وان كان فيه رائحة النجاسة .","/arabic/qa/11454/"
"52","
5
السؤال: أثناء أستنجاء المرأة من البول يكون هناك إفرازات مهبلية ، هل هذه الأفرازات تمنع طهارة اليد بعد الإستنجاء لأنها غير البول أو الغائط ؟ وهل بذلك يكفي غسل الموضع مرة واحدة كالمعتاد ؟","الجواب: الافرازات اذا كانت مانعة من وصول الماء الي الموضع المتنجس بالبول وجب ازالتها وتطهير الموضع واما اليد فهي تطهر تبعا لطهارة الموضع والاحوط الغسل من البول مرتين حتي بماء الحنفية .","/arabic/qa/11455/"
"53","
6
السؤال: ما حكم الاستنجاء بالاجسام المحترمة ؟","الجواب: يحرم الاستنجاء بالأجسام المحترمة في الشريعة المقدسة،ولو استنجى بها عصى لكن يطهر المحل.","/arabic/qa/20853/"
"54","
1
السؤال: كيف يتم تحديد نوع الاستحاضة ؟","الجواب: اذا لم يغمس الدم القطنة فالاستحاضة قليلة واذا غمسها ولم يتجاوزها فمتوسطة وان تجاوزها فكثيرة.","/arabic/qa/1981/"
"55","
2
السؤال: هل يمكن استخدام غير القطنة في تمييز الاستحاضة الكثيرة عن غيرها ؟","الجواب: نعم تستخدم ما يشابه القطنة كالخرقة المنسوجة منها أو غيرها مما يكون مشابهاً للقطنة في اقتضاء المنع من خروج الدم وفي نفوذه فيها على تقدير كون الاستحاضة متوسطة أو كثيرة وتلوثها به على تقدير كونها قليلة ولا يجب التدقيق الزائد في المشابهة المذكورة .","/arabic/qa/25188/"
"56","
3
السؤال: انا في استحاضة دائمة في بعض الاحيان تكون كثيرة وفي بعضها متوسطة وفي بعضها قليلة فما حكم الصلاة هنا؟ ومتى يجب الغسل؟ وهل يجب الوضوء لكل فرض؟","الجواب: يجب الغسل في الكثيرة ثلاث مرّات في اليوم، ومرّة واحدة على الاحوط في المتوسطة ويجب الوضوء لكلّ صلاة الاّ في الكثيرة ويعتبر الدم حيضاً في الشهر مرّة فان اختلف لون الدم اعتبر ما بلون الحيض حيضاً وما عداه استحاضة بشرط ان لا يتجاوز الحيض عشرة ايام ولا يقلّ عن ثلاثة وان لم يختلف او كان اكثر من عشرة فان كان لقريباتك عادة مستقرّة اخذت بها لتحديد ايام الحيض وان لم تكن كفى اختيار سبعة ايام من الدم الاحمر حيضاً او اكماله بالاصفر ثم وبعد فصل اقل الطهر أن كان خلال عشرة الطهر مستمرا واختلف لون الدم يكون الدم بعد عشرة الطهر حيض آخر واذا لم يختلف لونه فيبقى استحاضة الا آخر انقطع خلال عشرة الطهر وعاد ثانية استمر بعد العشرة ثلاثة ايام.","/arabic/qa/1971/"
"57","
4
السؤال: يستمر حيضي عادة من 5 الى 8 ايام وفي الايام الاخيرة يبدأ بالتقطع ويصل حتى إلى نصف يوم وصفات الدم تتغير فيتحول لونه الى الاسوداد او الاصفرار وبعد ان اغتسلت ظهر هذا الدم وهذا ما يحدث دائماً معي:
1 ـ ما حكم الصلاة في الفترة المتقطعة (نصف اليوم) وهل يجب الصوم في اثنائها؟
2 ـ هل يجب عليّ الاغتسال مرة اخرى؟
3 ـ هل توجد لغير المتزوجة استحاضة وان كان كذلك مع معرفة صفاتها فلا اعرف متى تحدث حتى اميزها؟","الجواب: 1 - يجب على الأحوط في النقاء المتخلل بين الدمين الجمع بين وظائف الطاهرة وتروك الحائض.
2 ـ اذا انقطع تماماً ولم يتجاوز العشرة وجب الغسل واما اذا تجاوز العشرة فلا يجب الغسل.
3 ـ نعم وذلك فيما اذا نزل منقطعاً قبل العادة بحيث يحصل النقاء بفترة غير متعارفة في الأثناء وكذا اذا استمر وتجاوز العشرة فما بعد العادة يكون استحاضة.","/arabic/qa/1975/"
"58","
5
السؤال: امرأة ترى الدم في كل شهر لمدة يومين فقط وينقطع بعد ذلك، وفي بعض الأشهر يعود في اليوم السادس أوالخامس فقط ثم ينقطع. فهل تعتبره دم حيض؟ وما حكم صومها وصلاتها؟","الجواب: تعتبره دم استحاضة فعليها الصلاة والصيام (مع مراعاة وظيفتها بحسب نوع الإستحاضة).","/arabic/qa/1976/"
"59","
6
السؤال: ما حكم صوم من تركت اغسالها الثلاثة في استحاضتها الكثيرة ؟","الجواب: لا يشترط في صحة صوم المستحاضة الأغسال النهارية التي هي للصلاة بل وكذا الغسل لليلة الآتية وإن كان هو الأحوط الأولى .","/arabic/qa/1977/"
"60","
7
السؤال: المرأة التي ترى الدم باستمرار في كل شهر وفي نفس الوقت وبصفات الحيض الا انه ينقطع قبل الثلاثة فهل يمكن احتسابه حيضاً؟","الجواب: إذا كان يحصل النقاء تماماً ولفترة غير متعارفة فهو إستحاضة.","/arabic/qa/1978/"
"61","
8
السؤال: ما هو حكم جماع الزوجة في الاستحاضة؟","الجواب: يجوز.","/arabic/qa/1979/"
"62","
9
السؤال: هل يجب على المستحاضة حين الصلاة ان تمنع خروج الدم؟","الجواب: نعم يجب التحفّظ من خروج الدم بعد الغسل فوراً الى الانتهاء من الصلاة.","/arabic/qa/1980/"
"63","
10
السؤال: في حالة الاستحاضة هل يجوز الصوم والصلاة في شهر رمضان علما بان متواصلة؟","الجواب: نعم وتقوم بوظائف المستحاضة بالنسبة الى الصلاة.","/arabic/qa/1983/"
"64","
1
السؤال: ما حكم رجل استهان برسول الله (ص) وبأهل البيت (ع) ؟","الجواب: لا يحكم بكفره إلا إذا أعلن عدائه لرسول الله (صلى الله عليه وآله وسلم) ولأهل البيت(عليهم السلام).","/arabic/qa/1994/"
"65","
1
السؤال: ما حكم الصلاة خلف من اقامها قبل دخول الوقت ؟","الجواب: لا يُجتزأ بها حينئذٍ .","/arabic/qa/3341/"
"66","
2
السؤال: مريض يعاني من بعض الحالات النفسية والعصبية وياخذ علاجات مخدرة لهذا المرض ولذلك تفوت عليه بعض الصلوات بسبب النوم الطويل او نوع من حالات الخمول والتخدر فهل يترتب عليه اثم في ذلك وما حكم قضاء هذه الفروض؟","الجواب: اذا لم يكن مستخفاً بصلاته فلاشيء عليه، نعم الخمول والتخدر ليسا عذرين لترك الصلاة وعلي اي تقدير يلزمه قضاء ما يفوته من الصلاة بسبب ذلك كله.","/arabic/qa/5125/"
"67","
3
السؤال: هل يعد النوم عذراً يطول به وقت العشائين الي ما بعد منتصف الليل وقبل الفجر؟","الجواب: نعم، بمعني انه لو نام عن صلاة المغرب والعشاء ولم يستيقظ حتي انتصف الليل لزمه الاتيان بالصلاتين اداءاً.","/arabic/qa/5128/"
"68","
4
السؤال: هناك اوقات حرجة لا يمكن للمصلي فيها معرفة الوقت (هل انتهي ام لا) فما هي وظيفة المصلي في هذه الحالة؟","الجواب: يأتي بالصلاة والاحوط الاولي ان تكون بنية الاعم من الاداء والقضاء.","/arabic/qa/5129/"
"69","
5
السؤال: مامقدار فضيلة صلاة المغرب؟","الجواب: زوال الحمرة المغربية وهو في بلادنا يقارب ساعة بعد الغروب.","/arabic/qa/10997/"
"70","
6
السؤال: توجد في دولة السويد او مكان آخر منطقة يكون النهار فيها ساعة واحدة في اليوم ولمدة ستة اشهر وفي فصل آخر يكون الليل عندهم ساعة واحدة في اليوم فكيف يكون الصوم عندهم والصلاة؟","الجواب: حكم الصلاة فيها يدور مدار الاوقات الخاصة من الفجر والزوال والغروب واما صوم شهر رمضان فعلي المكلف اداؤه مع التمكن منه ويسقط مع عدم التمكن فان تمكن من قضائه وجب والاّ فعليه الفدية بدله.","/arabic/qa/5133/"
